pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-205 c,Kepler-205,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,20.306546,0.122,1.64,0.146,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4321,0.55,,,,,4.74,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m08.81s,285.2866912,+41d51m39.37s,41.8609357,159.72,13.779,10.833,13.4947,14/05/2014,2014-03,14/05/2014
Kepler-206 b,Kepler-206,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.781987,0.078,1.2,0.107,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5764,1.19,,,,,4.31,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.447,13.507,12.001,13.4609,14/05/2014,2014-03,14/05/2014
Kepler-206 c,Kepler-206,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,13.137471,0.111,1.77,0.158,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5764,1.19,,,,,4.31,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.447,13.507,12.001,13.4609,14/05/2014,2014-03,14/05/2014
Kepler-206 d,Kepler-206,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,23.44281,0.163,1.19,0.106,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5764,1.19,,,,,4.31,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.447,13.507,12.001,13.4609,14/05/2014,2014-03,14/05/2014
Kepler-207 b,Kepler-207,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1.611865,0.029,1.57,0.14,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5920,1.59,,,,,4.13,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.519,13.164,11.805,13.1671,14/05/2014,2014-03,14/05/2014
Kepler-207 c,Kepler-207,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.071571,0.044,1.5,0.134,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5920,1.59,,,,,4.13,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.519,13.164,11.805,13.1671,14/05/2014,2014-03,14/05/2014
Kepler-207 d,Kepler-207,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.868075,0.068,3.31,0.295,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5920,1.59,,,,,4.13,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.519,13.164,11.805,13.1671,14/05/2014,2014-03,14/05/2014
Kepler-208 b,Kepler-208,1,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.22864,0.054,1.63,0.145,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6092,1.31,,,,,4.26,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,13.561,12.21,13.5376,14/05/2014,2014-03,14/05/2014
Kepler-208 c,Kepler-208,1,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.466623,0.079,1.39,0.124,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6092,1.31,,,,,4.26,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,13.561,12.21,13.5376,14/05/2014,2014-03,14/05/2014
Kepler-208 d,Kepler-208,1,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,11.131786,0.103,1.2,0.107,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6092,1.31,,,,,4.26,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,13.561,12.21,13.5376,14/05/2014,2014-03,14/05/2014
