hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
Kepler-1497,G,5675,0.95,0.96,0.01,[Fe/H],-0.073,4.47,4.27,1.01784,V
Kepler-1043,G,5629,0.9,0.92,-0.11,[Fe/H],-0.073,4.5,4.47,0.71425,V
K2-253,F,6027,1.1,1.08,0,[Fe/H],-0.072,4.39,,1.01569,V
Kepler-857,G,5773,0.99,0.99,0.02,[Fe/H],-0.071,4.45,4.27,2.7636,V
Kepler-1376,G,5659,0.97,0.98,0.07,[Fe/H],-0.071,4.46,4.68,1.68058,V
Kepler-813,G,5743,0.93,0.95,-0.13,[Fe/H],-0.071,4.48,3.98,1.98618,V
Kepler-1448,G,5774,0.93,0.95,-0.16,[Fe/H],-0.069,4.49,3.55,3.52728,V
K2-190,G,5631,0.91,0.9,-0.19,[Fe/H],-0.068,4.38,,1.4816,V
Kepler-1156,G,5778,1,1,0.02,[Fe/H],-0.068,4.44,4.47,2.28121,V
Kepler-466,G,5927,1.05,1.04,-0.01,[Fe/H],-0.067,4.42,3.47,1.79031,V
Kepler-1528,G,5857,1.03,1.03,0.03,[Fe/H],-0.064,4.43,3.89,1.7282,V
Kepler-564,G,5626,0.92,0.95,-0.01,[Fe/H],-0.064,4.49,4.27,4.7677,V
Kepler-280,G,5744,0.89,0.96,0.121,[M/H],-0.064,4.54,4.27,1.748,V
K2-221,G,5716,0.95,1.01,0.13,[Fe/H],-0.064,4.57,,1.28588,V
Kepler-1576,G,5876,1.06,1.05,0.05,[Fe/H],-0.063,4.4,4.07,1.59966,V
Kepler-1306,G,5727,0.97,0.98,0,[Fe/H],-0.063,4.45,4.57,14.86593,V
K2-220,G,5660,1.02,0.96,0.04,[Fe/H],-0.061,4.4,,3.061,V
Kepler-1118,G,5688,0.97,0.96,0,[Fe/H],-0.06,4.46,4.07,0.58519,V
K2-173,G,5580,0.84,0.88,-0.25,[Fe/H],-0.06,4.52,,1.38095,V
Kepler-256,G,5551,1.3,0.97,0.12,[Fe/H],-0.059,4.22,9.55,1.23,V
Kepler-1204,G,5825,1.03,1.03,0.06,[Fe/H],-0.058,4.42,4.27,1.73921,V
Kepler-491,G,5582,1.03,1.04,0.37,[Fe/H],-0.057,4.42,4.47,2.00967,V
Kepler-940,G,5769,0.96,0.97,-0.08,[Fe/H],-0.057,4.47,3.63,1.09134,V
Kepler-613,G,5723,0.96,0.98,-0.01,[Fe/H],-0.057,4.47,4.27,2.15415,V
Kepler-1668,G,5542,1.02,0.98,0.07,[Fe/H],-0.056,4.41,,1.31202,V
Kepler-1264,G,5791,0.98,0.99,-0.02,[Fe/H],-0.055,4.45,4.17,3.41073,V
Kepler-170,G,5679,1.03,1.09,0.31,[Fe/H],-0.055,4.45,1.8,0.91343,V
Kepler-565,G,5735,0.95,0.98,-0.02,[Fe/H],-0.055,4.47,4.07,1.04438,V
Kepler-648,G,5741,0.98,1.05,0.21,[Fe/H],-0.053,4.48,1.82,0.59786,V
Kepler-96,G,5690,1.02,1,0.04,[Fe/H],-0.052,4.42,2.34,1.54,V
K2-277,G,5741,0.97,1.02,0.11,[Fe/H],-0.052,4.48,,6.936,V
Kepler-685,G,5963,1.16,1.11,0.15,[Fe/H],-0.051,4.36,3.39,1.28198,V
K2-271,F,5644,0.99,0.83,-0.3,[Fe/H],-0.05,4.37,,2.284,V
Kepler-990,G,5948,1.08,1.05,0.01,[Fe/H],-0.05,4.39,3.55,0.6042,V
Kepler-556,G,5740,0.98,1,0.03,[Fe/H],-0.048,4.46,4.17,1.43045,V
Kepler-843,G,5830,1.03,1.02,0.05,[Fe/H],-0.047,4.42,4.17,1.79475,V
Kepler-1052,G,5888,1.03,1.03,0,[Fe/H],-0.047,4.42,3.55,2.06568,V
Kepler-986,G,5642,0.98,0.96,0.04,[Fe/H],-0.047,4.43,6.17,4.77055,V
Kepler-1196,G,5756,0.97,0.98,0,[Fe/H],-0.047,4.46,3.98,5.34075,V
Kepler-299,G,5617,1.03,0.95,-0.01,[Fe/H],-0.044,4.39,0.4,1.15252,V
Kepler-1040,G,5694,0.96,0.98,0.01,[Fe/H],-0.044,4.47,4.17,1.6429,V
Kepler-649,G,5871,0.94,0.97,-0.17,[Fe/H],-0.044,4.48,2.95,2.36315,IV-V
Kepler-888,G,5875,0.9,0.97,-0.21,[Fe/H],-0.043,4.52,1.48,1.80717,V
Kepler-626,G,5813,1.05,1.01,0.01,[Fe/H],-0.042,4.4,5.37,6.47831,V
Kepler-1447,G,5722,0.95,0.97,-0.03,[Fe/H],-0.042,4.47,4.17,3.10523,V
Kepler-683,G,5703,0.95,0.96,-0.03,[Fe/H],-0.041,4.47,4.37,1.68649,V
Kepler-619,F,5980,1.11,1.09,0.05,[Fe/H],-0.04,4.38,3.47,3.13041,V
Kepler-518,G,5842,0.88,0.96,-0.23,[Fe/H],-0.04,4.53,1.35,2.12361,V
Kepler-1598,G,5940,1.09,1.07,0.04,[Fe/H],-0.039,4.39,3.8,1.92063,V
Kepler-722,G,5863,1.05,1.03,0.02,[Fe/H],-0.039,4.41,4.37,2.9936,V
Kepler-407,G,5476,1.01,1,0.33,[Fe/H],-0.039,4.43,7.47,1.38,V
Kepler-537,G,5763,0.99,1.07,0.23,[Fe/H],-0.039,4.47,1.45,1.46831,V
Kepler-9,G,5774,0.96,1.02,0.05,[Fe/H],-0.038,4.49,2,1.64,V
Kepler-1575,G,5667,0.92,0.95,-0.07,[Fe/H],-0.037,4.49,4.17,2.61888,IV-V
Kepler-119,G,5595,0.84,0.92,0.01,[Fe/H],-0.037,4.57,3.63,1.35492,V
Kepler-1560,G,5815,1.02,1.02,0.04,[Fe/H],-0.034,4.43,4.17,1.4164,V
Kepler-597,G,5683,0.95,0.97,-0.01,[Fe/H],-0.033,4.47,4.27,1.86936,V
Kepler-172,G,5526,1.08,1,0.23,[Fe/H],-0.032,4.38,6.46,1.58662,V
Kepler-810,G,5803,1.04,1.03,0.1,[Fe/H],-0.032,4.42,4.17,1.65508,V
Kepler-18,K,5345,1.11,0.97,0.19,[Fe/H],-0.031,4.31,10,1.01,V
Kepler-921,G,5663,0.91,0.93,-0.12,[Fe/H],-0.03,4.5,4.27,2.98696,IV-V
HD 219666,G,5527,1.03,0.92,0.04,[Fe/H],-0.028,4.4,10,1.17568,V
Kepler-1131,G,5851,1.04,1.03,0.05,[Fe/H],-0.028,4.42,4.17,1.41165,V
Kepler-35,G,5606,1.03,0.89,-0.34,[m/H],-0.027,4.36,,2.80648,V
Kepler-1129,G,5831,1,1,-0.04,[Fe/H],-0.027,4.44,4.07,3.86037,V
K2-215,G,5704,0.97,1,0.11,[Fe/H],-0.026,4.41,,1.34077,V
HATS-8,G,5679,1.09,1.06,0.21,[Fe/H],-0.025,4.39,5.1,1.15,V
Kepler-97,G,5779,0.98,0.94,-0.2,[Fe/H],-0.025,4.43,8.42,1.53,V
Kepler-1068,G,5806,1.01,1.01,0.03,[Fe/H],-0.025,4.43,4.17,2.34768,V
Kepler-697,G,5513,0.88,0.92,-0.01,[Fe/H],-0.025,4.52,4.37,1.17261,V
Kepler-688,G,5715,0.96,0.98,0.02,[Fe/H],-0.024,4.47,4.27,2.21218,V
Kepler-640,G,5653,0.94,1.01,0.15,[Fe/H],-0.024,4.5,2.09,1.02047,IV-V
Kepler-1466,G,5884,1.02,1.01,-0.07,[Fe/H],-0.023,4.43,3.89,3.74352,V
Kepler-795,G,5631,0.96,0.94,-0.02,[Fe/H],-0.022,4.45,6.46,1.24741,V
Kepler-856,G,5535,0.93,0.96,0.12,[Fe/H],-0.022,4.49,4.27,1.79327,IV-V
WASP-37,G,5800,1,0.93,-0.284,[M/H],-0.021,4.41,11,1.23742,V
Kepler-1561,G,5957,1.11,1.07,0.04,[Fe/H],-0.02,4.38,3.39,2.00283,V
Kepler-517,G,5690,0.98,0.95,-0.06,[Fe/H],-0.019,4.43,6.31,2.11091,V
Kepler-918,F,6028,1.14,1.11,0.06,[Fe/H],-0.018,4.37,3.24,1.80765,V
HATS-33,G,5659,1.02,1.06,0.29,[Fe/H],-0.018,4.45,3,1.4,V
Kepler-1583,F,5645,0.91,0.94,-0.07,[Fe/H],-0.018,4.49,4.27,1.12325,IV-V
Kepler-1689,G,5731.43,1,1.02,-0.146,[M/H],-0.016,4.45,2.5,1.45879,V
K2-61,F,6293,1.36,1.21,0.17,[Fe/H],-0.015,4.25,,1.43264,V
TOI-1478,G,5597,1.05,0.95,0.078,[Fe/H],-0.013,4.37,9.1,1.16,V
K2-181,G,5608,1.07,0.99,0.23,[Fe/H],-0.013,4.38,,2.639,V
K2-195,G,5713,0.99,0.94,-0.1,[Fe/H],-0.012,4.42,,1.09,V
Kepler-1525,G,5748,1.04,1.07,0.27,[Fe/H],-0.011,4.44,2.82,1.17993,V
Kepler-1073,G,5792,1,1,0,[Fe/H],-0.01,4.44,3.72,1.84858,V
Kepler-1369,G,5761,0.99,0.99,0,[Fe/H],-0.01,4.45,4.07,1.09037,V
Kepler-1563,G,5765,0.99,1,0.02,[Fe/H],-0.01,4.45,4.07,0.28641,V
Kepler-321,G,5740,1.19,1.03,0.121,[M/H],-0.008,4.3,2.09,1.4788,V
Kepler-1346,G,6133,1.21,1.14,0.04,[Fe/H],-0.008,4.33,3.09,4.71885,V
Kepler-349,G,5956,0.93,1.02,0.151,[M/H],-0.007,4.52,3.09,3.48156,IV-V
Kepler-1524,F,6179,1.25,1.17,0.04,[Fe/H],-0.006,4.31,2.88,1.96319,V
Kepler-1057,G,5987,1.1,1.07,0.01,[Fe/H],-0.006,4.38,3.09,1.7086,V
Kepler-822,G,5928,1.08,1.06,0.04,[Fe/H],-0.005,4.4,3.55,0.96758,V
Kepler-58,G,5843,1.03,0.95,0.09,[Fe/H],-0.004,4.39,2.14,1.2684,V
HATS-59,G,5670,1.04,1.04,0.18,[Fe/H],-0.004,4.42,4.3,1.31,V
K2-218,G,5757,1.01,1.05,0.25,[Fe/H],-0.003,4.45,,1.21277,V
Kepler-1303,G,5771,1,1.01,0.04,[Fe/H],-0.002,4.44,4.47,2.56621,V
Kepler-1594,G,5946,1.08,1.06,0.03,[Fe/H],0,4.39,3.89,3.63808,V
K2-223,G,5835,0.99,1.06,0.12,[Fe/H],0,4.48,,1.55082,V
Kepler-809,G,5734,0.98,0.99,0.04,[Fe/H],0.001,4.45,4.37,0.88628,V
WASP-36,G,5959,0.98,1.08,-0.26,[Fe/H],0.001,4.49,1.4,1.595,V
Kepler-1267,G,6096,1.2,1.15,0.07,[Fe/H],0.003,4.33,3.24,1.52999,V
Kepler-318,G,5746,1.19,1.02,0.332,[M/H],0.004,4.33,1.62,2.1145,V
Kepler-315,G,5796,1.04,0.98,-0.28,[M/H],0.004,4.38,4.9,0.03981,V
Kepler-160,G,5471,1.12,0.97,0.14,[Fe/H],0.004,4.47,1.6,1.2,V
Kepler-265,G,5835,1.1,0.98,-0.14,[Fe/H],0.005,4.33,0.28,0.94278,V
Kepler-1077,G,5816,1.02,1.02,0.03,[Fe/H],0.006,4.43,4.17,1.43617,V
Kepler-370,G,5852,0.9,0.98,0.132,[M/H],0.006,4.53,0.4,1.33901,V
EPIC 212587672,G,5864.75,0.98,0.95,-0.21,[Fe/H],0.006,4.54,,1.85888,V
Kepler-1631,G,5679,0.95,0.97,0.04,[Fe/H],0.007,4.47,4.17,4.00557,V
Kepler-200,G,5678,0.94,0.98,-0.006,[M/H],0.008,4.45,6.3,0.13059,IV-V
Kepler-218,G,5502,1.06,1.02,0.31,[Fe/H],0.009,4.39,6.3,1.10283,V
Kepler-1386,G,5733,1.03,1.02,0.11,[Fe/H],0.009,4.41,5.01,0.83219,V
Kepler-1399,G,5735,0.96,0.97,-0.03,[Fe/H],0.01,4.47,4.37,1.59008,V
WASP-16,G,5700,1.14,1.78,0.01,[Fe/H],0.01,4.49,8.6,1.68,V
Kepler-1027,G,5436,0.82,0.91,-0.06,[Fe/H],0.011,4.57,1.41,0.79155,V
HATS-63,G,5627,1.07,0.93,0.081,[Fe/H],0.012,4.35,10.3,1.071,V
Kepler-266,G,5885,1.03,0.95,0.16,[Fe/H],0.012,4.45,4.79,1.11507,V
Kepler-1372,G,5677,0.97,0.98,0.05,[Fe/H],0.012,4.46,5.01,1.37652,V
Kepler-831,G,5732,0.97,0.99,0.02,[Fe/H],0.012,4.46,4.17,3.6896,V
Kepler-139,G,5594,1.3,1.05,0.28,[Fe/H],0.016,4.25,5.1,1.09708,V
Kepler-1427,G,5793,1.01,1.01,0.06,[Fe/H],0.016,4.44,4.07,2.4494,V
Kepler-562,G,5575,0.9,0.93,-0.04,[Fe/H],0.016,4.5,4.57,0.90798,V
Kepler-780,G,5769,1.02,1.01,0.05,[Fe/H],0.017,4.42,4.9,1.01394,V
K2-79,G,5926,1.28,1.06,0.2,[Fe/H],0.018,4.25,,0.54023,V
Kepler-739,G,5601,0.9,0.93,-0.08,[Fe/H],0.018,4.51,4.27,0.90987,V
Kepler-1656,G,5731,1.1,1.03,0.19,[Fe/H],0.021,4.37,6.31,1.22864,V
Kepler-1444,G,5810,1.05,1.03,0.06,[Fe/H],0.021,4.4,4.79,1.19806,V
Kepler-1405,G,5925,1.07,1.05,0.03,[Fe/H],0.022,4.4,3.63,1.34675,V
Kepler-131,G,5685,1.03,1.02,0.12,[Fe/H],0.022,4.42,3.66,1.44,V
Kepler-1637,G,5789,1.02,1.02,0.07,[Fe/H],0.023,4.43,4.17,0.30143,V
Kepler-1231,G,5778,1,1.01,0.06,[Fe/H],0.023,4.44,4.17,1.2762,V
Kepler-945,G,5718,0.97,0.97,-0.01,[Fe/H],0.024,4.46,4.47,1.87035,V
Kepler-1220,G,5842,0.99,1,-0.04,[Fe/H],0.025,4.45,3.63,1.66158,V
Kepler-183,G,5888,0.96,0.94,0.101,[M/H],0.026,4.5,4.27,4.45432,V
K2-52,A,7147,2.19,1.69,0.055,[Fe/H],0.027,3.98,,0.22,V
Kepler-416,G,5758,1.07,1,0.126,[M/H],0.028,4.42,4.9,1.73298,V
Kepler-1334,G,5614,0.91,0.94,-0.03,[Fe/H],0.028,4.5,4.27,2.26608,IV-V
Kepler-573,G,5746,1.02,0.99,0.02,[Fe/H],0.029,4.41,5.89,1.55582,V
Kepler-1474,G,5870,1.04,1.04,0.04,[Fe/H],0.029,4.42,3.8,3.49918,V
Kepler-204,F,5812,1.24,1.03,0.01,[Fe/H],0.03,4.27,3.3,0.70051,IV
Kepler-1044,F,5985,1.11,1.08,0.04,[Fe/H],0.031,4.38,3.55,3.37561,V
WASP-47,G,5552,1.14,1.04,0.38,[M/H],0.032,4.34,6.5,0.999,IV
Kepler-720,G,5618,0.92,0.95,0,[Fe/H],0.032,4.49,3.63,1.58713,IV-V
TOI-564,G,5640,1.09,1,0.143,[Fe/H],0.033,4.36,7.3,1.095,V
Kepler-154,G,5690,1,0.98,-0.04,[Fe/H],0.033,4.42,4.47,5.8464,V
Kepler-879,G,5792,1.02,1.02,0.05,[Fe/H],0.033,4.42,4.27,1.37423,V
Kepler-188,F,6021,1.14,0.98,0.14,[Fe/H],0.034,4.35,5.8,2.68246,IV
Kepler-731,G,5849,1.06,1.03,0.04,[Fe/H],0.035,4.41,3.8,1.3908,V
Kepler-1426,G,5831,1.02,1.02,0.03,[Fe/H],0.035,4.43,4.07,1.21534,V
Kepler-1327,G,5885,1.03,1.02,-0.03,[Fe/H],0.036,4.42,4.07,0.25852,V
Kepler-704,G,5616,0.96,0.97,0.09,[Fe/H],0.036,4.46,5.13,0.12677,V
Kepler-53,G,5858,0.89,0.98,0.16,[Fe/H],0.036,4.53,0.3,1.97596,V
Kepler-708,G,5692,0.96,0.97,0.01,[Fe/H],0.037,4.47,4.37,2.78453,V
WASP-34,G,5700,0.91,0.96,-0.02,[Fe/H],0.039,4.5,7.8,1.78,IV-V
Kepler-829,G,5698,0.97,0.98,0.03,[Fe/H],0.04,4.46,4.68,5.22062,V
Kepler-1189,F,6012,1.16,1.11,0.08,[Fe/H],0.041,4.36,3.39,1.42473,IV
Kepler-608,G,5820,1.01,1,-0.02,[Fe/H],0.041,4.43,3.8,0.2483,V
Kepler-1411,G,5664,0.92,0.95,-0.04,[Fe/H],0.041,4.49,4.17,3.34613,IV-V
HATS-1,G,5870,1.04,0.99,0.06,,0.041,4.59,6,2.18527,V
Kepler-886,G,6098,1.16,1.1,-0.01,[Fe/H],0.042,4.35,3.39,1.83138,IV
Kepler-1419,G,5796,1.01,1.01,0.04,[Fe/H],0.042,4.43,4.37,1.38123,V
Kepler-194,G,6089,1.02,1.09,0.16,[Fe/H],0.043,4.42,2.5,1.19508,V
Kepler-870,G,5857,1.02,1.01,-0.01,[Fe/H],0.043,4.43,3.8,0.85776,V
Kepler-1201,F,6177,1.24,1.15,0.03,[Fe/H],0.044,4.32,2.95,0.26952,IV
HATS-53,F,5644,1.1,0.96,,,0.045,4.34,9,1.027,IV
Kepler-1155,G,5842,1.03,1.03,0.04,[Fe/H],0.047,4.43,3.72,3.21232,V
Kepler-406,G,5538,1.07,1.07,0.18,[Fe/H],0.048,4.41,5.84,1.12,V
Kepler-899,G,5595,0.91,0.93,-0.06,[Fe/H],0.048,4.49,4.07,1.28042,IV-V
Kepler-302,G,5740,1.22,1.02,0.06,[Fe/H],0.049,4.29,0.5,1.35151,IV
Kepler-836,G,5895,1.04,1.03,-0.01,[Fe/H],0.049,4.41,4.27,0.47666,V
Kepler-1664,G,5735.81,1.07,0.94,0.37,[M/H],0.05,4.35,8.2,12.2231,V
Kepler-804,G,5817,1.05,1.01,0,[Fe/H],0.05,4.4,5.25,1.15872,V
K2-186,G,5784,0.98,1.02,0.06,[Fe/H],0.05,4.45,,1.18284,V
Kepler-1368,G,5906,1.08,1.07,0.1,[Fe/H],0.051,4.4,3.47,0.7641,V
Kepler-956,G,6040,1.15,1.1,0.02,[Fe/H],0.052,4.36,3.47,1.48273,IV
Kepler-1495,G,5831,1.04,1.03,0.06,[Fe/H],0.052,4.42,4.17,0.73979,V
Kepler-232,G,5847,0.97,0.97,0.03,[Fe/H],0.052,4.5,1.4,1.33259,V
Kepler-454,G,5701,1.05,0.85,0.27,[Fe/H],0.053,4.37,4.27,1.04,V
Kepler-394,F,6402,1.13,1.13,0.02,[Fe/H],0.053,4.41,0.25,1.91099,V
Kepler-770,G,5598,0.92,0.94,-0.01,[Fe/H],0.054,4.49,4.57,3.25028,IV-V
Kepler-10,G,5627,1.06,0.91,-0.15,[Fe/H],0.055,4.35,9.12,1.068,V
Kepler-288,G,5918,1.09,1.03,0.16,[Fe/H],0.056,4.35,3.72,1.32778,V
Kepler-334,G,5828,1.07,1.07,-0.012,[M/H],0.056,4.38,1.6,1.51962,V
Kepler-1144,G,5753,0.96,0.98,-0.03,[Fe/H],0.056,4.47,3.98,2.63554,V
HATS-32,G,5700,1.1,1.1,0.39,[Fe/H],0.057,4.4,3.5,1.17,V
Kepler-1050,F,6010,1.13,1.09,0.03,[Fe/H],0.059,4.37,3.55,1.35078,V
Kepler-1122,G,5544,0.89,0.92,-0.03,[Fe/H],0.059,4.51,4.68,0.96661,V
K2-74,F,6060,0.98,0.96,-0.21,[Fe/H],0.06,4.44,,1.46962,IV-V
Kepler-893,G,5820,0.99,1,-0.03,[Fe/H],0.06,4.45,3.8,0.3676,IV-V
Kepler-134,F,5983,1.18,1.06,-0.207,[M/H],0.061,4.31,3.55,1.26196,IV
Kepler-759,G,5860,1.04,1.04,0.06,[Fe/H],0.061,4.42,3.89,1.5122,V
Kepler-289,F,5990,1,1.08,0.05,[Fe/H],0.061,4.47,0.65,1.58,IV-V
Kepler-1590,F,6053,1.16,1.11,0.03,[Fe/H],0.063,4.35,3.39,1.49506,IV
Kepler-552,G,5863,1.04,1.03,0.01,[Fe/H],0.063,4.42,3.89,0.78445,V
Kepler-24,G,5800,1.07,1.03,-0.24,[M/H],0.064,4.34,7.7,0.02385,V
Kepler-1046,G,5913,1.04,1.04,0,[Fe/H],0.064,4.42,3.63,4.45912,V
HAT-P-55,G,5808,1.01,1.01,-0.03,[Fe/H],0.064,4.43,4.2,1.22933,IV-V
Kepler-1186,G,5635,0.93,0.95,0,[Fe/H],0.064,4.49,4.47,12.8622,IV-V
Kepler-609,F,5971,1.14,1.09,0.06,[Fe/H],0.065,4.36,3.72,1.76248,IV
Kepler-1184,F,5983,1.07,1.05,-0.04,[Fe/H],0.065,4.41,3.55,0.68566,V
Kepler-272,K,5297,0.93,0.86,0.09,[M/H],0.066,4.43,4.9,1.08986,IV-V
Kepler-703,F,6185,1.27,1.18,0.05,[Fe/H],0.067,4.29,2.69,2.29924,IV
HATS-52,F,6010,1.05,1.11,-0.284,[M/H],0.068,4.45,1.2,1.37,V
KOI-3680,G,5830,0.96,1.01,0.16,[Fe/H],0.068,4.47,3.2,1.88,IV-V
Kepler-868,G,5614,0.89,0.93,-0.08,[Fe/H],0.068,4.51,3.89,0.85472,V
Kepler-1290,G,5660,0.93,0.95,-0.02,[Fe/H],0.069,4.49,4.07,1.36344,IV-V
CoRoT-12,G,5675,1.12,1.08,0.16,[Fe/H],0.07,4.38,6.3,1.08,V
Kepler-1542,G,5564,0.99,0.94,0.06,[Fe/H],0.07,4.41,8.51,0.92434,IV-V
Kepler-832,G,5596,0.9,0.92,-0.08,[Fe/H],0.07,4.5,4.37,1.0168,V
Kepler-291,F,6002,1.02,0.9,-0.11,[Fe/H],0.071,4.47,0.3,2.54384,V
HATS-38,G,5732,1.1,0.89,-0.102,[Fe/H],0.072,4.3,11.89,1.02548,IV
K2-170,G,5748,0.98,0.96,-0.11,[Fe/H],0.072,4.34,,1.26996,V
Kepler-1060,G,5797,0.99,0.99,-0.03,[Fe/H],0.072,4.44,4.27,0.29666,V
Kepler-1216,G,5743,0.98,0.99,0.03,[Fe/H],0.073,4.46,4.07,1.64385,V
Kepler-173,F,6031,0.95,0.79,0.036,[M/H],0.074,4.4,3.3,2.66952,V
K2-73,G,5922,1.06,1.05,0.09,[Fe/H],0.076,4.41,,1.26589,V
Kepler-1085,F,6000,1.14,1.11,0.08,[Fe/H],0.079,4.37,3.39,1.04654,V
Kepler-513,G,5849,1.06,1.02,-0.01,[Fe/H],0.079,4.39,5.5,1.26216,V
Kepler-485,G,5958,1.09,1.07,0.04,[Fe/H],0.079,4.39,3.72,1.38843,V
Kepler-593,F,5967,1.1,1.08,0.04,[Fe/H],0.079,4.39,3.63,1.07729,V
Kepler-463,G,5661,0.9,0.87,-0.28,[Fe/H],0.079,4.47,7.41,0.9242,V
Kepler-1494,G,5659,0.94,0.96,0.01,[Fe/H],0.079,4.48,4.37,0.08704,IV-V
Kepler-1113,G,5931,1.17,1.12,0.18,[Fe/H],0.08,4.35,3.55,4.29644,IV
Kepler-1091,G,5851,1.03,1.01,0,[Fe/H],0.08,4.42,3.47,1.94361,V
Kepler-213,G,5696,1.2,1.07,0.157,[M/H],0.082,4.31,1.62,3.62663,IV
Kepler-106,G,5858,1.04,1,-0.12,[Fe/H],0.083,4.41,4.83,1.38,V
Kepler-206,G,5764,1.19,1.05,0.021,[M/H],0.084,4.31,7,0.86142,IV
Kepler-1305,G,5701,0.96,0.97,0.01,[Fe/H],0.084,4.47,4.37,0.6637,V
Kepler-1676,G,5878.3,1.06,1.07,0.135,[M/H],0.084,4.47,0.3,12.66372,V
Kepler-1601,G,5869,1.07,1.04,0.05,[Fe/H],0.085,4.4,4.27,0.54774,V
Kepler-1217,G,5905,1.08,1.06,0.07,[Fe/H],0.085,4.4,3.8,3.35123,V
Kepler-713,G,5785,0.99,0.98,-0.03,[Fe/H],0.085,4.44,3.8,4.36629,V
Kepler-817,G,5861,1.03,1.03,0.02,[Fe/H],0.086,4.42,3.55,1.78404,V
Kepler-1340,G,6331,1.42,1.27,0.07,[Fe/H],0.087,4.24,2.4,1.16531,V
K2-294,G,5612,1.2,0.99,0.194,[M/H],0.088,4.2,,0.8926,V
Kepler-1100,F,6247,1.34,1.21,0.05,[Fe/H],0.088,4.26,2.69,2.85412,V
Kepler-1061,G,6067,1.07,1.09,-0.03,[Fe/H],0.088,4.42,2.14,1.72402,V
Kepler-104,G,5711,1.35,0.81,-0.38,[M/H],0.089,4.11,12.9,1.05883,V
Kepler-1088,F,5975,1.08,1.08,0.05,[Fe/H],0.09,4.4,3.02,1.20451,V
Kepler-157,G,5774,1.04,1.02,-0.059,[M/H],0.091,4.39,4.07,1.38122,V
Kepler-604,G,5890,1.03,1.02,-0.02,[Fe/H],0.092,4.42,3.72,3.61833,V
Kepler-1463,G,5679,0.95,0.96,0,[Fe/H],0.092,4.47,4.79,1.58864,V
Kepler-1522,G,5706,0.93,0.96,-0.07,[Fe/H],0.092,4.49,3.89,2.27158,IV-V
Kepler-203,G,5821,1.11,1,0.048,[M/H],0.094,4.36,0.5,1.56956,IV
Kepler-1258,G,5839,0.99,0.99,-0.07,[Fe/H],0.094,4.45,3.89,1.17376,V
Kepler-476,G,5837,1.09,1.03,0.04,[Fe/H],0.095,4.38,5.37,0.82614,V
Kepler-773,G,5850,1.01,1.04,0.05,[Fe/H],0.095,4.45,2.82,0.91462,V
Kepler-1230,G,5961,1.08,1.06,0.01,[Fe/H],0.096,4.4,3.47,3.20056,V
Kepler-1092,G,5862,1,0.99,-0.09,[Fe/H],0.096,4.44,3.8,2.4381,V
Kepler-906,G,6035,1.02,1.06,-0.09,[Fe/H],0.096,4.45,1.86,2.00587,V
Kepler-952,G,5730,0.99,1,0.06,[Fe/H],0.097,4.45,4.27,2.31284,V
Kepler-193,F,6335,1.15,1.14,0.14,[Fe/H],0.1,4.4,0.3,2.112,V
Kepler-282,G,5602,0.9,0.79,-0.25,[Fe/H],0.106,4.46,0.4,0.6798,V
Kepler-142,G,5790,1.27,0.99,0.08,[Fe/H],0.107,4.26,8.2,0.77079,V
Kepler-545,G,5882,1.07,1.04,0.03,[Fe/H],0.107,4.39,4.47,1.11904,V
Kepler-686,G,5649,0.92,0.94,-0.07,[Fe/H],0.108,4.49,4.47,1.77544,IV-V
Kepler-902,F,5647,0.93,0.95,0,[Fe/H],0.108,4.49,4.37,2.57107,IV-V
Kepler-782,G,5867,1.01,0.98,-0.14,[Fe/H],0.11,4.42,5.25,0.94331,V
Kepler-793,G,5745,0.97,0.98,0,[Fe/H],0.11,4.46,4.27,0.95862,V
Kepler-418,G,5820,1.09,0.98,-0.05,[M/H],0.111,4.35,7,1.51,V
Kepler-228,G,6043,1.01,0.95,-0.03,[Fe/H],0.111,4.47,0.3,1.55056,V
Kepler-365,F,6012,1.05,1.02,-0.218,[M/H],0.112,4.43,4,2.59019,V
Kepler-164,G,5888,1.15,1.09,0,[Fe/H],0.113,4.33,0.62,7.98815,V
Kepler-500,G,5813,1.03,1.02,0.03,[Fe/H],0.116,4.42,4.37,1.79068,V
HATS-10,G,5880,1.1,1.1,0.15,[Fe/H],0.117,4.39,3.3,1.15,V
Kepler-867,G,5541,0.91,0.92,-0.02,[Fe/H],0.117,4.49,5.89,0.95103,IV-V
Kepler-653,G,5665,1.19,1.02,0.23,[Fe/H],0.119,4.29,7.76,0.68801,V
Kepler-1557,G,6099,1.17,1.11,0.02,[Fe/H],0.119,4.34,3.31,2.12805,V
Kepler-1550,G,5991,1.11,1.07,0.01,[Fe/H],0.119,4.38,3.55,1.46229,V
Kepler-11,G,5663,1.06,0.96,0.04,[Fe/H],0.12,4.37,8.5,1.122,IV-V
Kepler-825,F,5976,1.08,1.03,-0.08,[Fe/H],0.12,4.39,3.55,1.63287,V
Kepler-881,G,5961,1.09,1.06,0,[Fe/H],0.12,4.39,3.8,0.04553,V
Kepler-824,F,6035,1.22,1.15,0.14,[Fe/H],0.122,4.32,3.31,1.43366,V
