hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
Kepler-292,K,5299,0.83,0.85,-0.07,[Fe/H],-0.337,4.54,5.13,2.14949,V
Kepler-578,K,5334,0.83,0.87,-0.03,[Fe/H],-0.337,4.54,4.68,0.98429,V
Kepler-1014,G,5388,0.84,0.88,-0.06,[Fe/H],-0.337,4.54,4.79,3.6704,V
Kepler-404,G,5654,0.88,0.93,-0.04,[Fe/H],-0.337,4.54,0.4,2.50636,V
Pr0211,K,5300,0.83,0.94,0.18,[Fe/H],-0.336,4.51,0.578,2.01172,V
Kepler-1541,K,5282,0.81,0.86,-0.04,[Fe/H],-0.336,4.56,4.47,10.44514,V
K2-202,G,5491,0.91,0.97,0.27,[Fe/H],-0.335,4.55,,1.75012,V
Kepler-519,K,5260,0.8,0.89,0.01,[Fe/H],-0.335,4.58,1.91,2.35108,V
Kepler-1045,K,5301,0.82,0.86,-0.03,[Fe/H],-0.334,4.55,4.47,8.98752,V
Kepler-151,K,5460,0.83,0.87,0.124,[M/H],-0.334,4.55,4.6,3.74862,V
Kepler-763,K,5166,0.8,0.84,0.01,[Fe/H],-0.334,4.57,4.79,4.49591,V
Kepler-1138,G,5582,0.92,0.95,0.04,[Fe/H],-0.333,4.49,4.37,6.55345,V
Kepler-1259,K,5053,0.77,0.8,-0.07,[Fe/H],-0.333,4.58,5.25,4.30442,V
Kepler-405,G,5818,0.89,0.91,-0.03,[Fe/H],-0.331,4.54,4.68,2.22952,V
Kepler-1355,G,5352,0.83,0.88,-0.04,[Fe/H],-0.329,4.55,4.27,3.16032,V
Kepler-27,K,5400,0.59,0.65,0.41,[M/H],-0.329,5.4,1.62,3.22487,V
K2-65,K,5213,0.84,0.87,-0.34,[Fe/H],-0.328,4.53,,,V
Kepler-233,G,5360,0.76,0.85,-0.09,[Fe/H],-0.328,4.61,0.6,3.86328,V
Kepler-1313,G,5453,0.85,0.92,0,[Fe/H],-0.325,4.54,2.69,2.56622,V
K2-329,K,5282,0.82,0.9,0.098,[Fe/H],-0.325,4.57,1.8,2.3,V
Kepler-1692,K,5146,0.87,0.87,0.36,[Fe/H],-0.324,4.5,6.1,1.88766,V
Kepler-1507,G,5410,0.85,0.89,-0.03,[Fe/H],-0.324,4.53,4.57,2.45597,V
Kepler-1241,K,5261,0.8,0.84,-0.09,[Fe/H],-0.324,4.56,4.68,1.47924,V
Kepler-932,K,5331,0.84,0.87,-0.01,[Fe/H],-0.322,4.54,4.68,2.88,V
Kepler-1162,G,5390,0.84,0.89,-0.03,[Fe/H],-0.322,4.54,4.37,1.49185,V
Kepler-37,G,5417,0.79,0.87,-0.32,[Fe/H],-0.322,4.57,10,2.5,V
HATS-13,G,5523,0.89,0.96,0.05,[Fe/H],-0.321,4.52,2.5,1.93,V
Kepler-979,K,5310,0.83,0.87,-0.02,[Fe/H],-0.32,4.54,4.57,7.27802,V
Kepler-1490,G,5515,0.87,0.9,-0.08,[Fe/H],-0.319,4.52,4.57,0.23138,V
Kepler-726,G,5452,0.85,0.88,-0.09,[Fe/H],-0.319,4.53,4.47,1.66656,V
HATS-69,K,5137,0.88,0.89,0.377,[Fe/H],-0.318,4.5,8,1.854,V
Kepler-623,G,5443,0.86,0.9,-0.03,[Fe/H],-0.318,4.53,4.47,4.2829,V
Kepler-727,G,5441,0.86,0.89,-0.01,[Fe/H],-0.317,4.53,4.79,0.5727,V
Kepler-1058,K,4644,0.69,0.73,-0.06,[Fe/H],-0.316,4.63,3.39,0.19135,V
Kepler-1462,G,5756,1,1,0.06,[Fe/H],-0.314,4.45,4.07,1.49623,V
Kepler-884,G,5715,0.94,1,0.05,[Fe/H],-0.313,4.49,2.45,3.61996,V
Kepler-725,G,5363,0.84,0.88,-0.01,[Fe/H],-0.313,4.54,4.37,1.64307,V
Kepler-663,K,5264,0.82,0.86,0.03,[Fe/H],-0.313,4.55,4.57,4.37918,V
Kepler-1071,K,5215,0.81,0.86,0.01,[Fe/H],-0.313,4.56,4.27,5.7186,V
Kepler-339,G,5631,0.8,0.93,0.033,[M/H],-0.313,4.59,4.37,1.79524,V
Kepler-515,K,5293,0.83,0.9,0.08,[Fe/H],-0.312,4.55,3.39,1.64935,V
Kepler-579,G,5636,0.96,0.99,0.13,[Fe/H],-0.311,4.47,4.07,6.07188,V
Kepler-1530,G,5477,0.88,0.92,0.03,[Fe/H],-0.311,4.52,4.27,2.25028,V
Kepler-324,K,5233,0.83,0.9,0.08,[Fe/H],-0.308,4.53,0.8,1.85161,V
Kepler-1548,G,5706,0.97,0.99,0.05,[Fe/H],-0.307,4.46,4.37,4.0876,V
Kepler-1081,K,5345,0.84,0.88,0.01,[Fe/H],-0.306,4.54,4.68,4.23374,V
Kepler-549,G,5360,0.84,0.88,-0.03,[Fe/H],-0.306,4.54,4.57,2.57485,V
Kepler-964,G,5427,0.84,0.93,0.03,[Fe/H],-0.306,4.55,1.91,2.03637,V
Kepler-1273,G,5566,0.91,0.94,0.03,[Fe/H],-0.305,4.5,4.47,2.74306,V
Kepler-1139,G,5550,0.91,0.94,0.05,[Fe/H],-0.304,4.5,4.47,2.57532,V
Kepler-1627,G,5445,0.84,0.87,-0.1,[Fe/H],-0.303,4.54,4.68,3.00576,V
