hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
HD 98736,G,5271,0.93,0.92,0.36,-0.22,4.47,7.39,1.64899,7.93,6.028,7.75446,,5
HAT-P-38,G,5330,0.92,0.89,0.06,-0.208,4.37,10.1,1.20784,12.525,10.501,12.3021,,5
HD 106515 A,G,5362,1.62,0.97,0.03,0.09,4.41,11.7,1.66,7.971,6.151,7.7777,,5
HD 181234,G,5386,1.05,1.01,0.32,-0.099,4.25,6.32,1.26775,8.59,6.689,8.36926,,5
HD 88133,G,5392,2.2,1.26,0.34,0.497,3.88,5.37,0.15836,8.01852,6.199,7.80979,,5
HD 168443,G,5491,1.51,0.99,0.04,0.382,4.07,11.08,0.29172,6.92122,5.211,6.73166,,5
HAT-P-25,G,5519,0.92,1.01,0.294,-0.152,4.52,3.2,1.84,13.146,10.815,12.8416,,5
HD 163607,G,5522,1.76,1.12,0.21,0.42,3.97,8.6,0.24793,8,6.271,7.81298,,5
HIP 14810,G,5544,1.07,1.01,0.24,-0.01,4.32,5.84,1.27778,8.520001,6.828,8.33307,,5
HD 80606,G,5561,1.04,1.15,0.35,-0.002,4.42,5.9,1.45,9.06,7.316,8.82008,,5
HAT-P-15,G,5568,1.07,1,0.22,0,4.38,6.8,1.14,12.41,9.641,11.7232,,5
HD 168746,G,5570,1.09,1.07,-0.08,0.041,4.39,8,1.08973,7.95,6.253,7.77169,,5
HD 89345,G,5576,1.75,1.16,0.421,0.425,4.02,7.53,0.305,9.38,7.721,9.21702,,5
HD 4203,G,5596,1.42,1.25,0.4,0.293,4.23,8.52,0.41525,8.7,7.047,8.51545,,5
HD 108874,G,5600,1.05,1.1,0.26,-0.001,4.44,8,1.06371,8.76,7.06,8.57502,,5
WASP-182,G,5638,1.34,1.08,0.27,0.155,4.22,5.952,0.636,11.98,10.431,11.917,,5
WASP-97,G,5640,1.08,1.18,0.23,0.071,4.45,4.8,1.34,10.57,9.03,10.4238,,5
HD 28185,G,5662,1.03,1.02,0.23,0.016,4.42,7.5,1.1168,7.8,6.185,7.62682,,5
HD 220197,G,5683,0.98,0.91,-0.55,-0.003,4.42,10.165,1.3056,8.92,7.349,8.74481,,5
HD 4113,G,5688,1.08,0.99,0.2,0.086,4.4,6.4,1.10439,7.88,6.289,7.71051,,5
WASP-5,G,5700,1.03,0.96,0.09,0.067,4.39,5.4,1.24,12.147,10.598,11.996,,5
K2-140,G,5705,0.99,1,0.13,-0.049,4.45,4.22,1.477,12.727,10.995,12.4814,,5
HD 32963,G,5727,1.09,0.94,0.11,0.064,4.41,4.99,1.12694,7.6,6.024,7.42756,,5
HD 70642,G,5732,0.98,1.08,0.22,0.012,4.46,0.919,1.23591,7.17,5.574,6.99211,,5
HD 96167,G,5733,1.94,1.27,0.34,0.57,3.99,4.85,0.19703,8.09,6.554,7.92849,,5
WASP-123,G,5740,1.28,1.17,0.18,0.162,4.29,6.9,0.773,11.03,9.362001,10.8999,,5
HD 79498,G,5748,1.05,1.08,0.18,0.03,4.37,2.71,1.00985,8.05,6.53,7.8859,,5
HD 164509,G,5859,1.11,1.12,0.2,0.12,4.44,2.32,1.01495,8.1,6.586,7.95594,,5
