pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.0468,1.83,4,3.59,910,cluster4
0.0799,2.46,6.6,2.44,696,cluster4
0.1321,3.04,9.5,1.86,541,cluster3
0.247,2.13,5.2,2.96,398,cluster3
0.6,2.56,7.1,2.33,255,cluster2
0.554,3.89,14.4,1.34,337,cluster2
0.52,13.7,384.5743,0.822,405,cluster1
0.1202,2.45,7.8,2.9,943,cluster4
0.0719,2.15,5.27,2.91,886,cluster4
0.1458,2.67,7.61,2.2,622,cluster3
0.05,14.2,155.7367,0.299,1260,cluster1
0.06,2.4,6.3566,2.53,826,cluster4
0.1134,2.72,7.86,2.15,584,cluster4
0.1551,2.42,6.44,2.5,499,cluster3
0.26,1.72,3.6,3.89,298,cluster3
0.049,2.16,7.25,3.97,1311,cluster4
0.1066,7.398,34.9613,0.471,1089,cluster3
0.262,3.89,42.44,3.98,385,cluster3
0.0796,2.354,8.88263,3.9,757,cluster4
0.0906,2.466,12.7132,4.17,690,cluster4
0.048,2.085,5,3.03,1572,cluster4
0.0674,1.939,4.42,3.33,1326,cluster4
0.1027,2.164,5.32,2.88,1075,cluster4
0.137,3.84,27,2.6,703,cluster3
0.0296,3.59,12.6,1.5,1748,cluster4
0.0796,3.37,30,4.31,814,cluster4
0.0475,15.98,266.9772,0.35,1649,cluster1
0.0581,5.33,59.4,2.22,1360,cluster4
0.2257,7.55,44.4,0.567,734,cluster3
0.1027,2.56,16.7,5.2,575,cluster4
0.057,1.82,5.29,4.8,1309,cluster4
0.0642,12.14,410.0007,1.97,1098,cluster1
0.0954,10.67,587.9855,2.99,661,cluster1
0.143,12.06,266.9772,0.82,619,cluster1
0.0189,2.03,4.78,3.14,868,cluster4
0.0492,2.06,4.9,3.08,537,cluster4
0.0698,2.53,6.94,2.35,666,cluster4
0.0802,2.33,6.04,2.62,1003,cluster4
0.0525,7.5,43.9,0.572,723,cluster3
0.0285,1.21,1.92,5.96,814,cluster4
0.1649,2.76,8.05,2.1,338,cluster3
0.049,2.9,8.75,1.97,442,cluster4
0.0656,1.97,4.54,3.26,601,cluster4
0.0411,8.37,52.9,0.496,809,cluster3
0.2114,1.89,4.23,3.44,511,cluster3
0.0095,1.7,6.3,7.7,2062,cluster4
0.0916,14.572,155.7367,0.277,1586,cluster1
0.1346,1.73,3.64,3.86,296,cluster4
0.11728,2.91,8.8,1.96,425,cluster4
0.03385,1.51,3.1,4.9,1157,cluster4
0.04461,2.299,6.31,2.8,1012,cluster4
0.05893,2.39,7.92,3.1,888,cluster4
0.0782,3.39,12.97,1.8,757,cluster4
0.10447,2.904,1.63,0.4,653,cluster4
