pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.02012,1.745,8.83,9.15,2128,cluster1
0.0695,0.892,3.7,31.93,701,cluster5
0.03876,1.602,4.74,6.34,1015,cluster1
0.0653,1.511,4.36,6.95,782,cluster1
0.06356,4.71,16.6,0.87,1073,cluster2
0.1436,9.718,77.55052,0.464,876,cluster8
0.1202,2.45,7.8,2.9,943,cluster2
0.049,2.16,7.25,3.97,1311,cluster1
0.1066,7.398,34.9613,0.471,1089,cluster8
0.262,3.89,42.44,3.98,385,cluster2
0.01782,22.754,1021.18779,0.48,1411,cluster6
0.1429,2.37,8.92,4.11,284,cluster2
0.028,1.75,8,8.2,1103,cluster1
0.03308,1.343,11.26,26.26,1121,cluster5
0.06666,1.281,12.81,33.91,790,cluster5
0.15224,2.358,21.14,8.85,523,cluster2
0.0353,18.405,392.83788,0.37,1838,cluster7
0.046,14.572,273.3338,0.56,1587,cluster7
0.0404,17.396,451.3186,0.5,1957,cluster7
0.102,9.528,70.87609,0.483,1080,cluster8
0.2573,2.41,14.8,5.7,470,cluster2
0.01306,3.3,11.26782,1.77,1515,cluster2
0.0679,0.705,0.29013,4.51,664,cluster1
0.1035,2.93,8.9,2.03,538,cluster2
0.1249,2.73,14.3,2.21,490,cluster2
0.06702,4.48,30.9,1.87,902,cluster2
0.03817,2.59,9.68,3.07,1089,cluster2
0.0824,3.53,15.68,1.95,741,cluster2
0.04217,13.339,232.0159,0.53,1171,cluster7
0.0923,3.06,10.9,4.1,1230,cluster2
0.305,11.276,246.00042,1.01,676,cluster3
0.13,2.63,24.5,7.4,795,cluster2
0.0451,10.054,106.47305,0.612,852,cluster8
0.04839,11.646,184.02357,0.64,1092,cluster7
0.0795,5.299,15,0.55,837,cluster2
0.13843,3.134,8.1,1.43,634,cluster2
0.18422,3.484,6.7,0.87,550,cluster2
0.04899,1.212,2.1,6.3,1066,cluster1
0.1016,8.676,82.6358,0.694,650,cluster8
0.0223,1.43,3.9,7.2,1224,cluster1
0.054,3.2,7.8,1.3,788,cluster2
0.0964,2.42,9.9,3.6,858,cluster2
0.045,7.656,135.39558,1.7,1400,cluster8
0.05983,2.49,21.3,7.8,1372,cluster2
0.0525,15.681,215.80657,0.308,1377,cluster7
0.06708,19.952,301.9385,0.209,1800,cluster7
0.03005,19.537,408.09372,0.322,1970,cluster7
0.02044,15.861,874.0325,1.2,2453,cluster4
0.04881,17.094,416.3573,0.46,2087,cluster7
0.0455,17.598,375.0394,0.377,2085,cluster7
0.0637,21.409,1293.5681,0.744,1935,cluster6
0.0542,19.515,1074.90106,0.806,2262,cluster6
0.05224,17.777,1242.7153,1.24,2051,cluster6
0.03302,14.83,298.12454,0.503,1561,cluster7
0.06969,14.258,1646.3594,3.13,1459,cluster6
0.04317,19.044,286.68266,0.228,1823,cluster7
0.382,10.54,460.83,2.1,511,cluster3
0.03641,16.948,2949.4624,3.6,2550,cluster6
0.534,11.097,613.4119,2.46,347,cluster3
0.05119,1.71,10.5,10.1,1486,cluster1
0.1013,4.32,15.6,0.91,1012,cluster2
0.1684,11.27,106,0.363,806,cluster8
0.3046,6.56,35,0.6,584,cluster3
0.0269,11.545,346.4347,1.31,1459,cluster4
0.0172,1.481,4.60853,8,2130,cluster1
0.0474,5.77,51.1,1.45,1513,cluster8
0.0684,1.25,3.78,10.5,1413,cluster1
0.04544,1.536,3.51,5.3,1593,cluster1
0.06064,1.597,9.39,12.65,1379,cluster1
0.08377,0.86,3.8,33.1,1173,cluster5
0.12639,2.903,8.6,2,955,cluster2
0.1445,8.059,29.875,0.3,984,cluster8
0.2804,12.341,584.78,1.74,704,cluster3
0.0553,19.661,137.30256,0.11,1480,cluster7
0.753,12.42,1678.1424,4.82,388,cluster3
