pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
CoRoT-24 b,CoRoT-24,1,1,2,0,Transit,2014,2014-07,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,5.1134,0.056,3.7,0.33,5.7,0.018,Mass,0.9,0,,1070,86.5,0,10.9,0.037,,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,K1 V,4950,0.86,0.91,0.3,[Fe/H],,4.55,11,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,591.555,15.383,12.924,15.1801,06/06/2018,2014-07,31/05/2018
CoRoT-24 c,CoRoT-24,1,1,2,0,Transit,2014,2014-07,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,11.759,0.098,5,0.44,28,0.088,Mass,1.3,0,,850,89,0,18,0.05,,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,K1 V,4950,0.86,0.91,0.3,[Fe/H],,4.55,11,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,591.555,15.383,12.924,15.1801,11/06/2014,2014-07,11/06/2014
CoRoT-25 b,CoRoT-25,1,1,1,0,Transit,2013,2013-07,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.86069,0.0578,12.11,1.08,85.81,0.27,Mass,0.15,0,,1330,84.5,0,10.2,0.085,,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,F9,6040,1.19,1.09,-0.01,[Fe/H],,4.31,4.5,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.48,14.79,12.846,14.711,14/05/2014,2013-07,14/05/2014
CoRoT-26 b,CoRoT-26,1,1,1,0,Transit,2013,2013-07,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.20474,0.0526,14.12,1.26,165.26,0.52,Mass,0.28,0,,1600,86.8,0,6.28,0.0718,,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,G5,5590,1.79,1.09,0.01,[Fe/H],,3.99,8.6,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,1045.18,15.861,13.261,15.4682,14/05/2014,2013-07,14/05/2014
CoRoT-27 b,CoRoT-27,1,1,1,0,Transit,2014,2014-02,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,3.57532,0.0476,11.287,1.007,3302.11,10.39,Mass,12.6,0.065,,1500,86.7,0,9.48,0.099,,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,G2,5900,1.08,1.05,-0.1,[M/H],,4.4,4.21,1.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.28,15.774,12.985,15.3902,14/05/2014,2014-02,14/05/2014
CoRoT-4 b,CoRoT-4,1,1,1,0,Transit,2008,2008-09,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,9.20205,0.09,13.34,1.19,228.83,0.72,Mass,0.525,0,,1074,90,0,17.36,0.1047,,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,,6190,1.17,1.16,,,,4.41,1,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m46.71s,102.1946233,-00d40m22.03s,-0.6727861,726.412,13.652,12.288,13.5613,14/05/2014,2008-09,14/05/2014
CoRoT-5 b,CoRoT-5,1,1,1,0,Transit,2009,2009-10,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,4.0378962,0.04947,15.558,1.388,148.42,0.467,Mass,0.217,0.09,,1438,85.83,0,,,,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,F9 V,6100,1.19,1,-0.25,[M/H],,4.19,6.9,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,882.472,14.043,12.546,13.9021,14/05/2014,2009-10,14/05/2014
CoRoT-6 b,CoRoT-6,1,1,1,0,Transit,2009,2010-03,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,8.886593,0.0855,13.068,1.166,940.74,2.96,Mass,2.32,0.1,,1017,89.07,0,17.94,0.1169,,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,F9 V,6090,1.02,1.05,-0.2,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,645.294,13.961,12.119,13.7459,14/05/2014,2010-03,14/05/2014
CoRoT-9 b,CoRoT-9,1,2,1,0,Transit,2009,2010-03,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,95.272656,0.4021,11.949,1.066,266.9772,0.84,Mass,0.86,0.133,,420,89.9,0,89.9,0.11402,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,,5625,0.96,0.96,-0.01,[Fe/H],,4.54,6,1.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,412.98,13.637,11.688,13.5008,12/12/2017,2017-07,14/12/2017
EPIC 249893012 b,EPIC 249893012,1,1,3,0,Transit,2020,2020-04,Space,K2,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,3.5951,0.047,1.95,0.174,8.75,0.02753,Mass,6.39,0.06,1037,1616,86.14,0,5.93,0.0104,,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,G8 IV/V,5430,1.71,1.05,0.2,[Fe/H],,3.99,9,0.298,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,11.429,9.714,11.4019,06/02/2020,2020-04,13/02/2020
