pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.1885,1.76,3.75,3.78,503,cluster2
0.06007,17.598,200.2329,0.202,1645,cluster7
0.2265,3.54,12.3,1.52,489,cluster8
0.0578,12.11,85.81,0.15,1330,cluster3
0.0719,1.33,2.33,5.44,744,cluster1
0.0817,1.66,3.39,4.07,924,cluster1
0.109,1.39,2.51,5.14,875,cluster1
0.12,2.67,7.61,2.2,576,cluster4
0.255,1.8,3.89,3.2,274,cluster2
0.0276,3.1,9.8,1.81,1877,cluster4
0.039,0.69,0.257,4.3,968,cluster1
0.098,2.56,7.08,2.32,752,cluster4
0.0337,12.285,508.528,1.6,1422,cluster6
0.105,2.2,5.48,2.83,595,cluster2
0.036,1.62,3.26,4.21,1326,cluster1
0.0965,11.882,616.5902,1.96,904,cluster6
0.162,2.62,7.37,2.25,544,cluster4
0.018,0.72,0.299,4.4,1609,cluster1
0.1759,2.37,6.21,2.56,498,cluster2
0.076,1.22,1.98,5.99,800,cluster1
0.0364,1.2,1.87,5.95,1379,cluster1
0.0452,2.84,8.45,2.03,1046,cluster4
0.4123,5.38,25,0.882,448,cluster8
0.0449,1.23,2.04,6.02,903,cluster1
0.139,2.5,6.8,2.39,686,cluster4
0.0466,3.15,10.1,1.78,1655,cluster4
0.051,1.23,2.04,6.02,980,cluster1
0.041,1.28,2.18,5.71,1177,cluster1
0.1186,1.22,1.98,5.99,557,cluster1
0.2285,1.86,4.12,3.52,650,cluster2
0.04178,0.403,0.0374,3.14,938,cluster1
0.1239,3.02,9.38,1.87,918,cluster4
0.023,13.092,427.463,1.05,1577,cluster7
0.051,1.4,17.4,34.8,889,cluster5
0.05548,9.864,174.8065,0.378,1479,cluster7
0.2768,1.68,3.46,4.01,513,cluster2
0.2324,2.63,7.6,2.3,309,cluster4
0.1735,2.59,7.22,2.28,637,cluster4
0.0418,1.567,3.08,4.4,1010,cluster1
0.056,2.09,5.02,3.02,614,cluster2
0.2322,1.9,4.27,3.42,613,cluster2
0.106,2.39,6.3,2.54,979,cluster2
0.1291,2.25,5.69,2.74,955,cluster2
0.4393,1.18,1.76,5.89,414,cluster8
0.01521,1.056,1.38,6.45,342,cluster1
0.01544,1.875,7.99,6.66,1958,cluster8
0.3006,1.4,2.54,5.09,212,cluster8
0.1006,2.31,11,4.9,671,cluster8
0.0789,1.45,2.69,4.85,370,cluster1
0.0984,1.97,4.54,3.26,689,cluster2
0.0425,0.89,0.64,4.99,1616,cluster1
0.1693,2.36,6.17,2.58,600,cluster2
0.15,2.79,8.2,2.07,623,cluster4
0.115,1.79,3.86,3.7,873,cluster2
0.068,3.31,11,1.67,1254,cluster4
0.2804,12.341,584.78,1.74,704,cluster6
0.2754,2.067,4.93,3.07,637,cluster2
0.04707,15.581,232.0159,0.362,1459,cluster7
0.0753,2.31,5.95,2.65,731,cluster2
0.236,2.94,8.96,1.94,583,cluster4
0.633,3.87,17,1.6,243,cluster8
0.06702,4.48,30.9,1.87,902,cluster8
0.1805,2.26,5.73,2.73,564,cluster2
0.1091,2.73,5.8,2,741,cluster4
0.7097,2.811,8.3,2.05,267,cluster8
0.1179,1.41,2.57,5.04,928,cluster1
0.05071,13.809,410.0007,0.856,1741,cluster7
0.1867,4.75,20.2,1.04,1002,cluster8
0.2901,3.1,37.5,0.3,574,cluster8
0.088,2.18,5.39,2.86,672,cluster2
0.0771,1.62,3.26,4.21,725,cluster1
0.06,2.28,9.79,4.51,1038,cluster8
0.08,2.15,5.27,2.91,499,cluster2
0.0976,1.54,2.99,4.5,796,cluster1
0.0557,1.15,1.6,5.78,1121,cluster1
0.0965,2.95,9.01,1.93,657,cluster4
0.0114,1.06,1.2,5.54,1188,cluster1
0.0528,1.25,2.1,5.91,1305,cluster1
0.098,5,28,1.3,850,cluster8
0.1649,2.76,8.05,2.1,338,cluster4
0.136,3.04,9.48,1.85,814,cluster4
0.1436,9.718,77.55052,0.464,876,cluster3
0.033,0.86,0.566,4.89,1278,cluster1
0.047,1.5,2.86,4.66,1140,cluster1
0.114,1.93,24.1,18.4,393,cluster5
0.0814,2.759,6.63,1.73,828,cluster4
0.172,2.34,6.08,2.61,831,cluster2
0.0247,1.22,1.98,5.99,1783,cluster1
0.178,3.53,12.2,1.52,671,cluster8
0.0423,16.926,734.1873,0.75,1840,cluster6
0.1473,2.27,5.77,2.71,736,cluster2
0.0348,16.376,255.85315,0.346,1871,cluster7
0.1013,2.73,7.9,2.13,869,cluster4
0.236,1.13,1.51,5.75,531,cluster1
