hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
HD 190647,G,5656,1.38,1.07,0.23,[Fe/H],0.297,4.16,7.957,0.41818,V,5
HD 190984,F,5988,1.53,0.91,-0.48,[Fe/H],0.43,4.02,,0.12614,V,8
HD 191806,K,6010,1.4,1.14,0.3,[Fe/H],0.348,4.45,2.9,0.54607,V,0
HD 191939,G,5427,0.94,0.92,-0.16,[M/H],-0.161,4.4,7,1.55,V,8
HD 192263,K,4976,0.74,0.66,0.03,[Fe/H],-0.47,4.51,2.09,2.5391,V,0
HD 192310,K,5166,0.86,0.8,-0.04,[Fe/H],-0.415,4.51,7.81,2.1457,V,3
HD 192699,G,5041,4.41,1.38,-0.15,[Fe/H],1.009,3.25,1.8,,IV,8
HD 195019,G,5751,1.48,1.21,0.05,[Fe/H],0.333,4.18,3.2,0.44916,IV-V,3
HD 196050,G,5879,1.42,1.31,0.21,[Fe/H],0.26,4.25,1.6,0.52347,V,4
HD 196067,G,6017,1.73,1.29,0.18,[Fe/H],0.572,4.24,3.3,0.31274,V,1
HD 196885 A,F,6254,1.31,1.28,0.22,[Fe/H],0.38,4.31,3.12,0.56805,V,8
HD 197037,F,6150,1.1,1.11,-0.2,[Fe/H],0.239,4.4,1.9,1.03864,V,7
HD 19994,F,6188,1.8,1.36,0.27,[Fe/H],0.58,4.29,2.4,0.27721,V,8
HD 20003,G,5494,0.92,0.88,0.04,[Fe/H],-0.143,4.41,,1.68959,V,8
HD 200964,G,4982,4.92,1.39,-0.15,[Fe/H],1.064,3.22,3,,IV,8
HD 202206,G,5766,1.04,1.07,0.3,[Fe/H],0.035,4.5,2.9,1.24997,V,6
HD 202696,K,5040,6.43,1.91,0.02,[Fe/H],1.369,3.11,1.32,,III,0
HD 203030,G,5603,0.86,0.94,0.3,[Fe/H],-0.227,4.64,0.22,1.97498,V,8
HD 203473,G,5780,1.33,1.12,0.19,[Fe/H],0.25,4.09,5.22,0.42172,V,5
HD 2039,G,5945,1.19,1.23,0.3,[Fe/H],0.194,4.38,6,0.95192,IV-V,2
