pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-22 b,Kepler-22,1,1,Transit,2011,2012-02-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,289.8623,0.849,2.38,0.212,36,0.113,14.7,Mass,0,0.96,262,0,G5 V,5518,0.98,0.97,-0.29,[Fe/H],-0.102,4.44,7.08,1.458,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,11.751,10.152,11.6444
Kepler-220 b,Kepler-220,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,4.159807,0.046,0.81,0.072,0.457,0.00144,4.73,M-R relationship,0,105,759,0,,4632,0.67,0.65,-0.174,[M/H],-0.676,4.65,6,2.15978,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.109,13.049,10.55,12.8566
Kepler-220 c,Kepler-220,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,9.034199,0.076,1.57,0.14,3.09,0.00972,4.39,M-R relationship,0,37.32,586,0,,4632,0.67,0.65,-0.174,[M/H],-0.676,4.65,6,2.15978,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.109,13.049,10.55,12.8566
Kepler-220 d,Kepler-220,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,28.122397,0.163,0.98,0.087,0.904,0.00284,5.28,M-R relationship,0,8.21,401,0,,4632,0.67,0.65,-0.174,[M/H],-0.676,4.65,6,2.15978,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.109,13.049,10.55,12.8566
Kepler-220 e,Kepler-220,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,45.902733,0.226,1.33,0.119,2.33,0.00733,5.44,M-R relationship,0,4.27,341,0,,4632,0.67,0.65,-0.174,[M/H],-0.676,4.65,6,2.827,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.109,13.049,10.55,12.8566
Kepler-221 b,Kepler-221,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,2.795906,0.037,1.71,0.153,3.57,0.0112,3.92,M-R relationship,0,308.88,1090,0,,5243,0.82,0.82,0.062,[M/H],-0.404,4.54,4.57,2.81128,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.231,13.97,11.9,13.7486
Kepler-221 c,Kepler-221,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,5.690586,0.059,2.93,0.261,15.1,0.048,3.3,Mass,0,119.84,860,0,,5243,0.82,0.82,0.062,[M/H],-0.404,4.54,4.57,3.30553,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.231,13.97,11.9,13.7486
Kepler-221 d,Kepler-221,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,10.04156,0.087,2.73,0.244,7.9,0.0249,2.13,M-R relationship,0,56.29,712,0,,5243,0.82,0.82,0.062,[M/H],-0.404,4.54,4.57,5.44198,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.231,13.97,11.9,13.7486
Kepler-221 e,Kepler-221,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,18.369917,0.13,2.63,0.235,7.41,0.0233,2.24,M-R relationship,0,25.16,582,1,,5243,0.82,0.82,0.062,[M/H],-0.404,4.54,4.57,15.25458,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.231,13.97,11.9,13.7486
Kepler-222 b,Kepler-222,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,3.936981,0.048,3.16,0.282,10.1,0.0319,1.76,M-R relationship,0,206.77,1004,0,,5433,0.87,0.88,0.05,[Fe/H],-0.338,4.55,0.7,4.36488,19h11m37.46s,287.9060885,+46d56m15.89s,46.9377479,758.854,15.407,13.235,15.0603
