pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.768448,0.01211,1.332,2.62,6.1,892,cluster5
12.2519,0.07673,2.3,8.6,3.9,353,cluster7
0.792052,0.01679,4.72,29.32,1.536,1978,cluster7
2.14878,0.043,16.814,1175.971,1.5,2570,cluster1
2.647298,0.0326,14.908,258.07796,0.42,790,cluster8
0.766894,0.0143,13.507,687.14846,1.43,1332,cluster8
35.45533,0.201,9.158,109.33352,0.78,435,cluster4
7.532806,0.0757,11.747,66.10864,0.223,1257,cluster4
4.119027,0.0549,12.801,1538.2972,4.02,1605,cluster2
3.535717,0.0403,4.977,29.24036,1.395,1143,cluster1
3.27623,0.0441,12.33,238.68913,0.74,1146,cluster6
4.84532,0.0523,14.572,211.99155,0.38,1177,cluster6
3.24253,0.0391,13.899,242.8209,0.5,1457,cluster6
3.05125,0.0448,13.563,129.99182,0.28,1381,cluster6
4.511164,0.063,17.878,235.1942,0.226,1468,cluster6
1.337351,0.019,3.18,20.6,3.45,1650,cluster7
0.882059,0.01677,14.863,425.57437,0.711,1284,cluster8
2.4997,0.035,12.218,295.5819,0.89,1345,cluster8
4.43527,0.058,11.994,921.707,2.93,1448,cluster2
1.689868,0.03035,13.45,375.02,0.85,2013,cluster8
1.211919,0.02383,15.278,441.77,0.68,2212,cluster8
1.420024,0.02332,12.812,411.27202,1.076,1418,cluster8
1.645321,0.0286,17.295,233.92288,0.248,1955,cluster8
1.337116,0.02153,14.056,792.635,1.573,1344,cluster8
2.50792,0.03783,12.285,1369.8473,4,1681,cluster2
1.805356,0.02803,12.722,1938.763,5.1,1385,cluster2
2.879232,0.04127,12.408,1373.0256,3.95,1415,cluster2
2.032046,0.0352,19.055,597.5204,0.502,2053,cluster8
3.71495,0.0474,14.404,117.91493,0.216,1457,cluster6
1.540731,0.0234,11.31,378.2177,1.43,1134,cluster8
15.168865,0.1207,12.52,617.22586,1.847,974,cluster2
8.350381,0.07098,16.814,309.56642,0.38,637,cluster2
24.245586,0.1288,3.65,15.4,1.74,330,cluster7
3.444717,0.03826,1.694,5.9,6.7,775,cluster5
4.65382,0.05186,2.726,9.5,2.57,1037,cluster7
9.15059,0.0814,2.759,6.63,1.73,828,cluster7
19.98,0.137,2.93,13.6,2.98,638,cluster7
2.109702,0.026,3.42,22.4,3.08,1395,cluster7
4.720219,0.0626,15.648,753.2571,1.08,1679,cluster2
10.180249,0.0903,11.882,270.47333,0.88,918,cluster4
5.857487,0.07037,14.067,797.7533,1.68,1404,cluster2
2.084544,0.03138,14.415,375.0394,0.686,1588,cluster8
5.331751,0.06864,13.888,314.6517,0.64,1619,cluster6
4.231306,0.058,16.69,387.7526,0.49,1669,cluster6
2.255448,0.03524,12.173,251.40353,0.76,1715,cluster8
9.47725,0.0914,10.817,1722.6386,7.53,1198,cluster2
3.49151,0.0391,5.05,26.78,1.14,767,cluster1
1.914558,0.02607,1.152,1.5,5.4,1040,cluster5
3.23845,0.037,1.669,4.77,5.62,873,cluster5
6.5577,0.0592,2.572,3.01,0.976,690,cluster7
9.961881,0.0783,2.207,3.86,1.98,600,cluster7
15.231915,0.1039,2.287,7.72,3.6,521,cluster7
20.7095,0.1275,2.87,3.94,0.915,470,cluster7
29.02,0.1587,12.89,209.7678,0.54,362,cluster4
34.556,0.2069,11.29,200,0.76,497,cluster4
17.089,0.1293,7.69,30,0.34,628,cluster4
10.695264,0.08911,3.03,13.8,2.73,805,cluster7
18.38818,0.1528,7.163,43.86032,0.65,1027,cluster4
