hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
Kepler-1265,K,4630,0.69,0.71,-0.1,-0.7,4.63,5.25,4.27014,17.098,16.024,15.5655,V
Kepler-383,K,4710,0.67,0.67,-0.178,-0.698,4.62,13.9,3.24938,16.486,15.473,15.0655,V
Kepler-615,K,4655,0.69,0.73,-0.07,-0.695,4.62,3.72,3.99937,16.27,14.623,14.3489,V
Kepler-742,K,4642,0.71,0.76,0.07,-0.692,4.62,2.57,3.26173,16.821,15.357,15.1722,V
Kepler-1200,K,4612,0.7,0.74,0.04,-0.689,4.63,3.02,2.48278,17.567,16.06,15.7889,V
K2-119,M,4740,0.71,0.76,-0.05,-0.685,4.62,,2.251,15.974,14.818,14.5103,V
Kepler-808,K,4653,0.71,0.76,0.05,-0.684,4.62,1.95,4.17487,15.904,14.519,14.3539,V
Kepler-925,K,4673,0.72,0.77,0.12,-0.684,4.62,2.57,1.63128,17.462,16.025,15.8155,V
Qatar-2,K,4645,0.78,0.74,0.02,-0.683,4.53,5,2.241,14.582,13.443,13.0276,V
Kepler-785,K,4739,0.71,0.77,-0.02,-0.683,4.62,2.82,3.97867,17.424,16.315,15.7615,V
Kepler-1062,K,4597,0.7,0.75,0.11,-0.682,4.62,2.45,11.57399,16.521,15.095,14.8053,V
Kepler-220,K,4632,0.67,0.65,-0.174,-0.676,4.65,6,2.15978,14.322,13.049,12.8566,V
Kepler-1157,K,4679,0.71,0.76,0.05,-0.675,4.62,3.39,2.97604,15.916,14.603,14.3769,V
Kepler-1520,K,4677,0.71,0.76,0.04,-0.673,4.61,4.47,0.47074,17.13,16.002,15.6932,V
K2-68,K,4746,0.68,0.73,-0.21,-0.673,4.63,,3.28491,13.976,12.987,12.6573,V
Kepler-1324,K,4776,0.73,0.78,0.05,-0.673,4.61,2.88,13.69084,16.743,15.554,15.1336,V
Kepler-1197,K,4708,0.72,0.78,0.06,-0.666,4.62,2.69,7.75533,16.706,15.346,15.1132,V
Kepler-1150,K,4754,0.72,0.76,0.01,-0.666,4.61,4.68,2.35572,15.037,14.748,14.4231,V
Kepler-443,K,4723,0.71,0.74,-0.01,-0.664,4.61,3.2,2.96,18.085,16.207,15.9005,V
Kepler-304,K,4731,0.69,0.8,0.05,-0.662,4.63,2.09,4.07394,16.15,15.065,14.8308,V
