hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
Kepler-1162,K,5390,0.84,0.89,-0.03,-0.322,4.54,4.37,1.49185,16.439,15.749,15.4855,V
Kepler-37,K,5417,0.79,0.87,-0.32,-0.322,4.57,10,2.5,10.446,9.770001,9.54988,V
HATS-13,G,5523,0.89,0.96,0.05,-0.321,4.52,2.5,1.93,14.682,13.911,13.6799,V
Kepler-979,K,5310,0.83,0.87,-0.02,-0.32,4.54,4.57,7.27802,15.928,14.882,14.625,V
Kepler-726,G,5452,0.85,0.88,-0.09,-0.319,4.53,4.47,1.66656,16.036,15.362,15.035,V
Kepler-1490,G,5515,0.87,0.9,-0.08,-0.319,4.52,4.57,0.23138,16.384,15.616,15.4179,V
HATS-69,K,5137,0.88,0.89,0.377,-0.318,4.5,8,1.854,14.906,14.074,13.7643,V
Kepler-623,G,5443,0.86,0.9,-0.03,-0.318,4.53,4.47,4.2829,15.72,15.028,14.9634,V
Kepler-727,G,5441,0.86,0.89,-0.01,-0.317,4.53,4.79,0.5727,16.431,15.453,15.352,V
Kepler-1058,K,4644,0.69,0.73,-0.06,-0.316,4.63,3.39,0.19135,16.532,15.869,15.5037,V
Kepler-1462,G,5756,1,1,0.06,-0.314,4.45,4.07,1.49623,16.254,15.888,15.8562,V
Kepler-1071,K,5215,0.81,0.86,0.01,-0.313,4.56,4.27,5.7186,16.525,15.881,15.8291,V
Kepler-663,K,5264,0.82,0.86,0.03,-0.313,4.55,4.57,4.37918,16.745,15.881,15.8686,V
Kepler-725,K,5363,0.84,0.88,-0.01,-0.313,4.54,4.37,1.64307,16.137,15.145,14.9929,V
Kepler-339,G,5631,0.8,0.93,0.033,-0.313,4.59,4.37,1.79524,15.555,14.706,14.5134,V
Kepler-884,G,5715,0.94,1,0.05,-0.313,4.49,2.45,3.61996,13.729,13.164,13.0469,V
Kepler-515,K,5293,0.83,0.9,0.08,-0.312,4.55,3.39,1.64935,13.921,12.913,,V
Kepler-1530,G,5477,0.88,0.92,0.03,-0.311,4.52,4.27,2.25028,15.397,14.15,14.0055,V
Kepler-579,G,5636,0.96,0.99,0.13,-0.311,4.47,4.07,6.07188,14.754,14.552,14.2462,V
Kepler-324,K,5233,0.83,0.9,0.08,-0.308,4.53,0.8,1.85161,15.762,14.222,14.0909,V
Kepler-1548,G,5706,0.97,0.99,0.05,-0.307,4.46,4.37,4.0876,16.239,15.324,15.2455,V
Kepler-1081,K,5345,0.84,0.88,0.01,-0.306,4.54,4.68,4.23374,14.792,13.827,13.7114,V
Kepler-549,K,5360,0.84,0.88,-0.03,-0.306,4.54,4.57,2.57485,13.98,14.805,14.6226,V
Kepler-964,G,5427,0.84,0.93,0.03,-0.306,4.55,1.91,2.03637,14.928,14.061,13.9025,V
Kepler-1273,G,5566,0.91,0.94,0.03,-0.305,4.5,4.47,2.74306,16.96,16.03,15.796,V
Kepler-1139,G,5550,0.91,0.94,0.05,-0.304,4.5,4.47,2.57532,15.045,14.229,14.1349,V
Kepler-1627,G,5445,0.84,0.87,-0.1,-0.303,4.54,4.68,3.00576,14.017,13.111,13.0492,V
K2-272,K,5419,0.81,0.81,-0.28,-0.302,4.53,,2.577,14.577,13.872,13.6668,V
Kepler-656,G,5281,0.82,0.86,-0.04,-0.299,4.56,4.37,0.53763,16.314,15.549,15.337,V
Kepler-971,G,5431,0.85,0.88,-0.06,-0.299,4.54,4.47,1.72343,14.347,13.483,13.2181,V
Kepler-492,G,5527,0.91,0.94,0.07,-0.299,4.5,4.57,2.65963,15.597,14.644,14.5107,V
Kepler-733,K,5418,0.86,0.9,0.01,-0.298,4.53,4.27,2.62459,16.205,15.561,15.3954,V
Kepler-865,G,5570,0.92,0.93,-0.01,-0.298,4.49,4.27,1.51938,15.583,14.635,14.5036,V
Kepler-1415,G,5267,0.84,0.89,0.12,-0.297,4.54,4.17,5.77265,16.878,15.937,15.7209,V
Kepler-29,K,5378,0.73,0.76,-0.44,-0.297,4.6,0.3,3.18827,16.014,15.547,15.2819,V
WASP-6,G,5450,0.73,0.55,-0.2,-0.297,4.6,11,2.01,12.897,11.907,11.9761,V
Kepler-570,G,5496,0.9,0.93,0.06,-0.296,4.5,5.01,4.21558,15.46,14.451,14.3288,V
Kepler-1123,G,5500,0.9,0.93,0.05,-0.295,4.5,5.13,3.18576,15.681,14.933,14.8069,V
WASP-67,K,5200,0.88,0.91,-0.07,-0.294,4.35,12.6,1.88,12.896,12.537,11.9141,IV
Kepler-1377,K,5218,0.82,0.86,0.05,-0.293,4.55,5.01,4.41831,16.721,15.857,15.8887,V
Kepler-1114,G,5374,0.83,0.87,-0.08,-0.293,4.55,4.27,8.90485,14.903,13.935,13.7579,V
Kepler-1681,G,5756.4,0.76,0.89,0.106,-0.293,4.54,3.3,3.45002,15.572,14.646,14.5565,V
Kepler-137,K,5187,0.8,0.91,-0.02,-0.292,4.55,4.27,2.00607,13.879,13.063,12.9414,V
Kepler-632,K,5322,0.84,0.91,0.11,-0.292,4.55,3.02,2.93386,14.446,13.442,,V
Kepler-1281,G,5353,0.83,0.87,-0.04,-0.292,4.55,4.37,2.44249,16.377,15.961,15.997,V
Kepler-48,K,5194,0.89,0.88,0.17,-0.289,4.49,3.14,1.98,14.253,13.174,13.0772,V
K2-159,G,5425,0.83,0.9,-0.07,-0.289,4.56,,2.7842,12.571,11.995,11.6397,V
Kepler-322,G,5388,0.89,0.92,0.05,-0.288,4.5,14,2.17106,14.588,13.687,13.5033,V
Kepler-1021,G,5431,0.86,0.89,-0.05,-0.288,4.53,4.68,6.58918,15.907,15.207,15.1734,V
Kepler-468,G,5498,0.87,0.96,0.1,-0.286,4.54,2,3.71454,14.798,13.852,13.7299,V
Kepler-1153,G,5470,0.88,0.91,0.03,-0.284,4.52,4.57,2.57091,16.984,15.767,15.7976,V
K2-178,G,5525,0.89,0.95,0.09,-0.284,4.55,,2.14054,13.276,12.382,12.1562,V
Kepler-985,G,5434,0.85,0.91,0,-0.283,4.54,3.39,3.13923,15.837,14.904,14.7169,V
Kepler-629,G,5444,0.84,0.93,0.01,-0.283,4.55,1.91,2.03849,14.506,13.481,13.358,V
Kepler-1295,G,5486,0.89,0.92,0.04,-0.283,4.51,4.68,4.18978,17.063,16.227,15.9075,V
Kepler-913,K,4687,0.61,0.63,-0.52,-0.282,4.67,5.62,4.307,15.561,15.522,15.7385,V
Kepler-958,G,5421,0.86,0.91,0.01,-0.282,4.53,4.37,11.37484,14.796,13.91,13.7299,V
Kepler-760,K,5322,0.85,0.89,0.08,-0.28,4.54,4.57,2.12083,15.933,15.181,15.0731,V
Kepler-1635,G,5347,0.85,0.89,0.06,-0.28,4.53,4.9,0.21977,16.862,15.82,15.6928,V
Kepler-523,G,5515,0.86,0.93,-0.03,-0.28,4.54,2.45,2.36312,14.021,12.588,12.481,V
Kepler-499,G,5312,0.83,0.87,0,-0.279,4.55,4.57,3.71393,15.472,14.63,14.349,V
Kepler-285,G,5411,0.81,0.82,0.16,-0.279,4.58,0.6,2.44783,16.36,15.198,15.1521,V
Kepler-1001,G,5491,0.88,0.9,-0.03,-0.279,4.52,4.68,0.1919,16.453,15.582,15.3302,V
Kepler-916,K,5248,0.81,0.85,-0.05,-0.278,4.56,4.79,2.61354,16.442,15.363,15.1752,V
Kepler-179,G,5302,0.76,0.84,0.123,-0.278,4.61,0.6,3.16386,15.657,14.772,14.6031,V
Kepler-1178,K,4990,0.75,0.8,-0.05,-0.277,4.59,4.68,3.02114,15.151,14.212,13.9597,V
Kepler-1545,K,5201,0.8,0.84,-0.06,-0.277,4.57,4.47,4.68026,15.996,15.256,15.0334,V
Kepler-1559,K,5316,0.82,0.86,-0.04,-0.276,4.55,4.27,1.67188,15.683,14.549,14.488,V
Kepler-701,G,5343,0.84,0.88,0,-0.276,4.54,4.47,2.92779,16.021,15.056,14.9683,V
K2-201,G,5507,0.88,0.96,0.13,-0.276,4.68,,1.87336,13.061,12.168,11.9432,V
Kepler-1469,G,5507,0.89,0.92,0.02,-0.274,4.51,4.47,3.22658,15.629,16.2388,15.9891,V
Kepler-1549,K,5324,0.84,0.88,0.02,-0.273,4.54,4.79,1.90642,16.157,15.353,15.1516,V
Kepler-851,G,5455,0.85,0.89,-0.07,-0.273,4.53,4.47,0.63776,16.015,15.172,15.1081,V
Kepler-882,G,5476,0.87,0.9,-0.03,-0.273,4.52,4.57,8.59056,15.147,14.188,14.0774,V
Kepler-1614,K,5121,0.76,0.79,-0.17,-0.271,4.58,5.5,1.34731,17.199,16.01,15.9408,V
Kepler-837,G,5403,0.81,0.85,-0.18,-0.271,4.56,3.98,1.46297,16.365,15.576,15.229,V
K2-27,K,5248,0.89,0.87,0.13,-0.27,4.48,10.3,2.04,13.556,12.689,12.4528,V
Kepler-652,G,5490,0.88,0.97,0.17,-0.27,4.54,1.48,3.49287,14.799,13.618,13.4353,V
Kepler-775,G,5468,0.84,0.92,-0.04,-0.267,4.56,1.86,1.97281,14.567,13.564,13.4673,V
Kepler-1671,K,5135.55,0.93,0.87,0.25,-0.266,4.44,13.4,1.51899,14.121,13.439,13.2783,V
Kepler-1634,G,5474,0.89,0.92,0.02,-0.265,4.51,4.47,1.46428,15.542,14.636,14.486,V
Kepler-751,G,5387,0.84,0.87,-0.06,-0.264,4.54,4.47,2.11123,15.941,15.211,14.98,V
Kepler-553,G,5266,0.85,0.92,0.21,-0.261,4.55,2.88,1.83916,16.14,15.034,14.9567,V
Kepler-962,G,5478,0.86,0.93,0.01,-0.261,4.54,2.4,8.14697,14.607,13.68,13.558,V
Kepler-1342,G,5527,0.9,0.93,0.03,-0.261,4.51,4.37,2.72102,16.482,15.726,15.3835,V
Kepler-1130,G,5403,0.81,0.9,-0.06,-0.26,4.57,1.58,1.9628,13.519,12.509,12.3956,V
Kepler-646,G,5634,0.91,0.93,-0.07,-0.259,4.49,4.57,2.53735,14.835,14.026,13.7654,V
Kepler-1127,G,5664,0.95,0.97,0.04,-0.259,4.47,4.37,1.89424,15.993,15.162,15.1325,V
Kepler-598,G,5307,0.86,0.87,0.02,-0.258,4.51,7.59,1.5731,15.694,14.829,14.7207,V
Kepler-1108,G,5406,0.84,0.88,-0.09,-0.258,4.54,4.17,3.82916,15.335,15.132,14.9192,V
Kepler-1237,G,5472,0.9,0.94,0.12,-0.258,4.5,4.57,4.01964,16.864,16.012,15.7553,V
HATS-37 A,G,5326,0.88,0.84,0.051,-0.256,4.48,11.46,0.86724,13.222,12.341,11.9978,V
Kepler-1166,G,5446,0.86,0.9,-0.02,-0.256,4.53,4.9,2.66299,15.312,14.65,14.466,V
Kepler-244,G,5554,0.8,0.96,0.16,-0.256,4.58,0.5,1.86883,,15.747,15.5455,V
Kepler-46,K,5155,0.94,0.9,0.41,-0.255,4.45,9.7,1.53,16.235,15.312,15.2548,V
Kepler-1454,G,5448,0.86,0.9,-0.02,-0.255,4.53,4.57,1.96539,16.071,15.009,14.8994,V
Kepler-325,G,5752,1,0.92,0.017,-0.255,4.41,8.2,7.88553,15.956,15.175,15.0053,V
K2-127,K,4575,0.66,0.72,-0.11,-0.254,4.65,,2.211,16.005,15.041,14.7871,V
Kepler-651,G,5522,0.87,0.92,-0.04,-0.253,4.53,3.55,1.82855,15.534,14.233,13.9621,V
Kepler-271,G,5555,0.87,0.9,-0.13,-0.253,4.52,4.57,2.19626,14.37,13.578,13.4284,V
TAP 26,K,4620,1.17,1.04,-0.199,-0.25,4.5,0.017,1.26737,13.328,12.5,11.8101,V
K2-210,G,5396,0.85,0.91,0.05,-0.249,4.55,,1.94223,12.883,11.535,11.5845,V
Kepler-605,K,5462,0.88,0.91,0.02,-0.248,4.52,4.47,9.97929,14.779,14.376,14.1363,V
K2-226,G,5424,0.91,0.88,-0.03,-0.246,4.47,,1.72343,13.194,12.337,12.0917,V
Kepler-1685,G,5484,0.84,0.96,0.21,-0.245,4.58,,2.321,16.593,16.096,15.906,V
Kepler-1028,G,5522,0.87,0.9,-0.09,-0.245,4.52,4.68,4.31494,15.813,14.611,14.3098,V
Kepler-1243,G,5667,0.94,0.96,0.01,-0.244,4.48,4.37,1.56166,15.685,14.898,14.8331,V
Kepler-1690,G,5404,0.86,0.94,0,-0.243,4.54,8.5,2.06657,15.524,14.882,14.6417,V
Kepler-1476,G,5663,0.96,0.98,0.06,-0.243,4.47,4.57,5.34191,16.411,15.574,15.4086,V
Kepler-1458,G,5653,0.94,0.96,0.02,-0.24,4.48,4.17,4.06359,15.243,14.434,14.1996,V
K2-189,G,5519,0.87,0.94,0,-0.239,4.53,,2.07235,13.016,12.398,12.2538,V
Kepler-226,G,5571,0.8,0.91,0.16,-0.239,4.59,0.5,2.13629,16.694,15.563,15.4026,V
Kepler-310,G,5797,0.88,0.91,-0.07,-0.239,4.52,1.9,10.54459,15.585,14.376,14.265,V
Kepler-587,G,5549,0.89,0.92,-0.05,-0.238,4.51,4.79,5.43604,15.816,15.011,14.8658,V
Kepler-495,K,5346,0.83,0.86,-0.07,-0.237,4.55,4.37,1.90183,15.773,14.942,14.6074,V
K2-319,G,5440,0.9,0.95,,-0.237,4.51,,1.62082,12.993,12.213,11.9397,V
Kepler-30,G,5498,0.95,0.99,0.18,-0.237,4.77,2,2,16.598,15.726,15.3761,V
Kepler-439,G,5431,0.87,0.88,0.02,-0.236,4.51,7.2,1.89,15.535,14.654,14.5454,V
K2-64,K,5312,0.73,0.74,,-0.234,4.58,,1.97545,14.902,14.132,13.9146,V
Kepler-692,G,5440,0.86,0.9,-0.01,-0.233,4.53,4.68,2.38978,16.523,15.676,15.5495,V
Kepler-1534,G,5442,0.86,0.9,-0.01,-0.233,4.52,4.57,6.81343,,16.429,16.2352,V
Kepler-293,G,5804,0.96,0.94,0.04,-0.233,4.5,0.5,1.81242,16.103,15.452,15.3334,V
Kepler-1420,K,5187,0.79,0.82,-0.1,-0.232,4.57,4.9,2.60281,16.903,15.894,15.8488,V
Kepler-1198,G,5517,0.9,0.93,0.03,-0.232,4.5,4.68,3.85065,15.959,14.986,14.7693,V
K2-172,G,5569,0.87,0.93,-0.06,-0.232,4.61,,2.1811,13.191,12.5,12.2809,V
Kepler-1392,G,5479,0.85,0.88,-0.11,-0.231,4.53,4.68,1.59423,16.634,15.963,15.6665,V
Kepler-783,G,5521,0.89,0.93,0.01,-0.231,4.51,3.89,0.90656,14.701,14.153,13.9378,V
Kepler-1556,G,5608,0.95,0.97,0.08,-0.231,4.47,4.9,8.39086,16.235,15.651,15.2978,V
HATS-46,G,5495,0.85,0.92,-0.06,-0.23,4.54,3,2.1,14.431,13.783,13.527,V
Kepler-1191,K,5308,0.81,0.85,-0.08,-0.226,4.56,4.57,2.26307,16.523,15.319,15.3125,V
Kepler-314,K,5378,0.95,1.02,0.322,-0.226,4.46,2.4,1.49432,13.634,12.64,12.5226,V
Kepler-802,G,5507,0.9,0.93,0.06,-0.226,4.5,4.68,0.49325,15.911,15.01,14.8111,V
Kepler-963,K,5461,0.87,0.91,-0.02,-0.225,4.52,4.07,2.2596,16.062,15.091,14.9116,V
Kepler-184,G,5788,0.87,0.97,-0.196,-0.225,4.51,1.7,2.7003,15.168,14.42,14.3115,V
Kepler-1117,G,5612,0.93,0.95,0.03,-0.224,4.49,4.27,1.98241,15.093,14.15,14.1237,V
Kepler-724,G,5437,0.86,0.9,-0.02,-0.223,4.53,4.37,6.24879,16.308,15.284,15.1206,V
Kepler-571,G,5527,0.9,0.93,0.01,-0.223,4.51,4.68,1.40966,16.236,14.951,14.6536,V
Kepler-744,G,5594,0.93,0.94,0,-0.222,4.48,5.13,9.7949,14.429,13.718,13.5843,V
Kepler-453,G,5527,0.83,0.94,0.09,-0.221,4.57,2.49,2.34763,14.887,13.672,13.5227,V
Kepler-706,K,5394,0.84,0.87,-0.06,-0.218,4.54,4.79,3.42177,16.232,15.274,15.1663,V
Kepler-1693,G,5432.34,0.88,0.95,0.026,-0.218,4.53,0.8,1.97682,15.84,14.857,14.7438,V
Kepler-846,G,5579,0.91,0.94,0,-0.217,4.5,4.37,3.89592,16.388,15.684,15.6041,V
K2-224,G,5620,0.84,0.91,-0.19,-0.217,4.55,,2.73527,13.357,12.7,12.5216,V
Kepler-905,K,5461,0.86,0.95,0.09,-0.215,4.55,1.66,8.00121,15.298,14.058,13.9504,V
Kepler-1644,G,5499,0.86,0.89,-0.1,-0.215,4.53,4.27,1.00918,15.358,14.397,14.1827,V
K2-282,G,5523,1.01,0.94,0.15,-0.215,4.47,,1.442,14.845,14.21,13.8183,V
Kepler-536,G,5524,0.89,0.92,0,-0.214,4.51,4.79,2.27396,14.828,14.032,13.7823,V
K2-208,G,5582,0.86,0.93,-0.11,-0.214,4.62,,2.17698,13.227,12.577,12.3135,V
Kepler-574,G,5612,0.91,0.95,-0.01,-0.214,4.5,4.17,2.41976,15.771,14.671,14.5392,V
Kepler-738,G,5327,0.82,0.86,-0.09,-0.213,4.55,4.57,3.83443,16.659,15.793,15.5908,V
Kepler-85,G,5499,1.24,0.92,0,-0.212,4.22,4.37,0.11974,15.782,14.89,14.766,V
Kepler-933,K,5346,0.84,0.87,-0.02,-0.211,4.54,4.68,2.01989,16.563,15.614,15.4379,V
Kepler-576,G,5672,0.97,0.99,0.09,-0.211,4.46,4.47,0.93119,14.856,14.627,14.382,V
K2-157,G,5456,0.88,0.94,0.13,-0.21,4.55,,1.67926,13.609,12.942,12.6419,V
K2-187,G,5484,0.92,0.98,0.23,-0.21,4.5,,1.6823,13.986,13.102,12.8673,V
Kepler-1133,G,5569,0.9,0.93,-0.02,-0.21,4.5,4.07,20.39189,15.656,14.785,14.8099,V
Kepler-317,G,5497,0.94,0.86,0.13,-0.208,4.49,3.72,1.48079,15.974,15.665,15.4571,V
HAT-P-37,G,5500,0.88,0.93,0.03,-0.208,4.51,3.6,1.87,14.381,13.427,13.2615,V
Kepler-178,G,5676,1.07,0.94,0.18,-0.208,4.33,11.3,2.32199,15.493,14.876,14.5782,V
Kepler-1674,G,5473.91,0.88,0.96,0.056,-0.206,4.53,0.5,2.00462,16.399,15.697,15.4779,V
Kepler-941,G,5539,0.86,0.89,-0.15,-0.206,4.53,4.07,0.1136,16.778,15.803,15.5723,V
K2-279,G,5558,0.86,0.79,-0.37,-0.205,4.46,,1.13,12.327,11.491,11.5907,V
Kepler-1307,G,5884,1.08,1.06,0.06,-0.205,4.39,4.07,2.49234,15.598,15.636,15.3803,V
Kepler-409,K,5460,0.89,0.92,0.08,-0.202,4.5,6.8,1.81,10.357,9.636,9.39109,V
Kepler-1036,G,5533,0.89,0.95,0.04,-0.202,4.52,3.24,0.3502,14.699,13.87,13.7635,V
Kepler-1552,K,5202,0.78,0.85,-0.07,-0.201,4.58,3.31,1.71,15.613,15.203,14.9308,V
Kepler-1679,G,5501,0.87,0.96,-0.04,-0.201,4.54,0.4,2.03283,15.059,15.327,15.1144,V
Kepler-548,G,5535,0.9,0.93,0,-0.201,4.5,4.37,3.16564,16.273,15.266,14.9844,V
Kepler-1277,G,5578,0.92,0.94,-0.01,-0.199,4.49,5.01,2.40742,14.987,14.306,14.0928,V
Kepler-1471,G,5660,0.93,0.95,-0.03,-0.199,4.48,4.57,2.3335,16.118,15.421,15.246,V
Kepler-1371,G,5361,0.83,0.87,-0.07,-0.198,4.55,4.37,3.54402,14.786,14.018,13.8344,V
WASP-50,G,5400,0.84,0.89,0.12,-0.198,4.54,7,2.12,12.431,11.44,11.5518,V
Kepler-1683,G,5429,0.9,0.95,0.16,-0.198,4.51,13.6,1.83523,16.319,14.962,14.8429,V
Kepler-1477,K,5100,0.78,0.81,-0.06,-0.196,4.58,4.68,4.18999,15.468,14.72,14.5763,V
Kepler-1128,G,5543,0.91,0.94,0.04,-0.196,4.5,4.57,10.19029,16.638,15.934,15.6861,V
Kepler-1682,G,5619.12,0.84,0.99,-0.048,-0.196,4.58,5.7,2.3356,16.556,15.907,15.678,V
WASP-41,G,5545,0.83,0.81,0.06,-0.195,4.53,1.2,2.01,12.361,11.632,11.2823,V
HAT-P-44,G,5295,0.95,0.94,0.33,-0.194,4.46,7.5,1.09993,14.136,13.225,12.9729,V
Kepler-1012,G,5556,0.91,0.95,0.05,-0.194,4.5,3.72,1.80454,14.36,13.486,13.3154,V
Kepler-961,G,5582,0.9,0.96,0.05,-0.194,4.51,2.82,2.82159,14.944,14.204,14.043,V
Kepler-594,G,5485,0.87,0.91,-0.03,-0.193,4.52,4.27,3.04887,15.712,14.906,14.7563,V
Kepler-1023,G,5494,0.89,0.93,0.05,-0.193,4.51,4.47,6.81194,,14.7121,14.502,V
LkCa 15,M,4194,1.61,,0.26,-0.192,3.65,,,13.008,12.025,11.5887,IV
Kepler-1310,G,5549,0.88,0.91,-0.07,-0.192,4.51,4.17,3.18974,15.12,14.346,14.1223,V
Kepler-936,G,5482,0.89,0.92,0.05,-0.19,4.51,4.57,4.40297,15.297,14.84,14.7886,V
Kepler-1066,G,5762,0.98,0.98,-0.03,-0.19,4.45,3.8,2.12805,14.042,13.115,13.0239,V
TOI-451,G,5550,0.88,0.95,,-0.189,4.56,0.12,1.824,11.637,10.939,10.7498,V
Kepler-1333,G,5628,0.92,0.94,-0.04,-0.188,4.49,4.57,4.11331,16.284,15.421,15.1714,V
Kepler-1612,G,5643,0.94,0.96,0.03,-0.188,4.48,4.57,1.72996,15.818,14.936,14.7157,V
Kepler-82,G,5529,0.9,0.91,0.211,-0.185,4.49,4.68,1.77,15.94,15.131,15.1377,V
Kepler-344,G,5774,0.98,0.93,0.04,-0.185,4.45,6.6,6.56772,16.337,15.539,15.3025,V
Kepler-920,G,5403,0.85,0.89,0,-0.183,4.54,4.37,1.85865,15.507,15.492,15.2681,V
Kepler-1282,G,5504,0.89,0.92,0.01,-0.183,4.51,4.57,3.01046,16.531,15.707,15.4921,V
Kepler-255,G,5573,0.93,0.87,0.339,-0.183,4.52,2.4,2.24666,16.188,15.699,15.5283,V
Kepler-1215,G,5616,0.93,0.95,0.01,-0.182,4.48,4.79,5.06537,15.441,14.539,14.4254,V
Kepler-319,G,5526,0.9,0.96,-0.015,-0.181,4.49,3.55,3.64696,14.86,13.926,13.7908,V
K2-293,G,5532,0.95,0.96,0.218,-0.18,4.52,,1.68821,14.141,13.44,13.1611,V
Kepler-561,G,5646,0.94,0.96,0.02,-0.18,4.48,4.27,2.40514,15.371,14.427,14.3316,V
Kepler-538,G,5547,0.87,0.89,-0.03,-0.179,4.51,5.3,1.902,12.161,11.27,11.1647,V
Kepler-743,G,5486,0.85,0.94,0.01,-0.176,4.55,1.86,1.6861,13.371,12.66,12.5411,V
K2-168,G,5502.7,0.83,0.88,-0.13,-0.176,4.39,,1.2704,12.973,12.365,12.0976,V
Kepler-878,K,5044,0.77,0.81,-0.03,-0.174,4.58,4.57,3.45421,16.005,14.967,14.7898,V
Kepler-938,G,5533,0.89,0.92,-0.03,-0.174,4.51,4.27,1.95244,16.222,15.148,,V
HATS-14,K,5346,0.93,0.97,0.33,-0.173,4.48,4.9,1.682,14.836,14.052,13.7712,V
HATS-62,G,5416,0.93,0.9,0.133,-0.173,4.45,9.55,1.556,14.862,14.171,13.8321,V
Kepler-487,G,5444,0.88,0.91,0,-0.173,4.51,5.62,1.78366,16.132,14.882,15.0647,V
K2-207,G,5522,0.93,0.94,0.11,-0.173,4.41,,1.85898,13.906,13.175,12.9687,V
Kepler-746,G,5418,0.93,0.91,0.09,-0.172,4.46,8.71,5.1037,15.378,13.785,13.6111,V
Kepler-251,G,5526,0.89,0.95,-0.02,-0.172,4.49,3.63,2.12141,16.292,15.541,15.216,V
Kepler-723,G,5539,0.89,0.92,0,-0.172,4.51,4.57,1.45056,16.274,15.452,15.201,V
Kepler-1623,G,5772,1,1,0.04,-0.172,4.44,4.27,3.20972,16.038,15.205,14.9243,V
Kepler-1606,K,5422,0.86,0.9,0.01,-0.171,4.53,4.27,1.19,16.013,15.396,15.1062,V
K2-248,G,5528,0.92,0.88,-0.1,-0.171,4.45,,1.82647,14.234,13.497,13.2616,IV
Kepler-1513,G,5617,0.97,0.99,0.14,-0.17,4.46,3.98,1.26197,14.083,13.071,12.9559,V
EPIC 206024342,G,5759,0.82,0.93,,-0.17,4.59,,2.3828,13.798,13.096,12.9682,V
Kepler-414,G,5536,0.95,0.89,0.05,-0.169,4.47,5.5,1.64198,14.364,13.378,13.321,V
KOI-217,G,5545,0.86,0.95,0.12,-0.169,4.53,1.7,2.08224,15.287,15.257,15.1013,V
Kepler-581,G,5772,1,1,0.03,-0.169,4.44,4.07,1.96293,15.192,14.701,14.5302,V
K2-227,G,5673,0.89,0.95,-0.1,-0.167,4.58,,1.66362,12.675,12.015,11.4954,V
Kepler-1498,K,5256,0.81,0.86,-0.01,-0.166,4.56,4.17,0.78624,16.254,15.352,15.0997,V
K2-291,G,5520,0.9,0.93,0.08,-0.166,4.5,3.72,1.77,10.832,10.014,9.86639,V
Kepler-20,G,5495,0.96,0.95,0.07,-0.165,4.45,7.6,2.20611,13.278,12.61,12.4535,V
Kepler-1578,G,5545,0.86,0.9,-0.13,-0.165,4.53,4.27,2.0073,16.14,15.585,15.3281,V
Kepler-585,G,5593,0.93,0.96,0.03,-0.163,4.49,3.63,2.10797,15.052,14.188,14.0171,V
Kepler-375,K,5826,0.84,0.92,0.14,-0.163,4.57,0.4,2.76203,16.727,15.643,15.6771,V
TOI-1444,G,5430,0.91,0.93,0.13,-0.162,4.49,,1.24,11.539,10.936,10.6417,V
Kepler-1678,G,5754,0.83,1.03,0,-0.162,4.61,0.3,2.49449,15.317,15.02,14.9068,V
Kepler-1017,G,5473,0.87,0.93,0.04,-0.161,4.53,2.95,6.3602,15.059,14.315,14.1153,V
Kepler-19,G,5544,0.86,0.94,-0.08,-0.161,4.51,1.9,2.20846,12.878,12.035,11.8763,V
K2-169,G,5548,0.92,0.99,0.26,-0.161,4.56,,1.49832,12.957,12.23,12.0063,V
Kepler-1172,G,5558,0.89,0.92,-0.04,-0.161,4.51,4.37,1.73973,16.95,16.083,15.8463,V
Kepler-150,G,5560,0.94,0.94,-0.02,-0.161,4.47,4.57,2.11056,16.046,15.161,14.9743,V
Kepler-695,K,5181,0.8,0.84,-0.01,-0.159,4.57,4.47,2.4165,16.223,15.262,15.1132,V
Kepler-702,G,5419,0.86,0.9,0,-0.159,4.53,4.47,3.85261,16.483,15.437,15.3098,V
Kepler-1227,G,5747,0.95,0.97,-0.04,-0.158,4.47,4.17,6.27526,14.871,14.276,14.1758,V
Kepler-326,K,5105,0.8,0.85,0.239,-0.157,4.56,14,2.50206,14.793,13.734,13.6788,V
K2-158,G,5503,0.95,0.92,0.07,-0.157,4.45,,1.57526,12.337,11.774,11.6134,V
Kepler-63,G,5576,0.9,0.98,0.05,-0.157,4.52,0.21,1.895,12.358,12.02,11.5352,V
Kepler-860,K,5836,1.06,1.04,0.09,-0.157,4.4,4.27,2.67226,15.486,15.544,15.4033,V
Kepler-1235,G,5541,0.9,0.93,0.01,-0.156,4.5,4.57,1.97455,14.928,14.079,13.8765,V
Kepler-689,G,5518,0.88,0.91,-0.01,-0.153,4.51,4.57,1.49344,15.945,15.938,15.592,V
Kepler-1251,G,5545,0.89,0.92,-0.04,-0.153,4.51,4.79,6.65298,15.959,15.024,14.9391,V
Kepler-259,G,5938,0.9,0.93,-0.03,-0.153,4.53,0.4,1.98095,16.11,15.378,15.1689,V
Kepler-346,G,6033,1.02,0.95,0,-0.153,4.46,1.7,11.79405,16.483,15.261,15.1549,V
Kepler-424,K,5460,0.94,1.01,0.44,-0.15,4.5,4.9,1.73,15.326,14.429,14.229,V
Kepler-1210,G,5568,0.92,0.94,0.04,-0.149,4.49,5.13,4.6734,16.783,15.649,15.566,V
